X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Rare Earth,Natural Resources,1601,0.8253698753383193,0.0,0.6812354311159927,0.6142631396525067,3.609467980511103,4068.8153430519287
Platinum,Ecosystem Quality,1601,0.8485736066499192,0.0,0.720077165902852,0.770229834439828,-3.7487734992993698,0.00017833085866137367
Platinum,Human Health,1599,0.8727591901989767,0.0,0.7617086040767747,0.8889453789787704,-0.9784147636138147,0.10509576998215062
Platinum,Natural Resources,1601,0.8034269678664031,0.0,0.6454948926950026,0.8532106336369405,3.5035121589300298,3187.954827525466
Phosphate Rock,Ecosystem Quality,1601,0.7137074182739934,1.5783770657826522e-249,0.5093782788993291,0.48109534874829957,-4.814089787311421,1.534299744390325e-05
Phosphate Rock,Human Health,1599,0.6641543044871759,5.2882300820530275e-204,0.4411009401688447,0.5024496161415177,-2.2052566682368213,0.00623366316818333
Phosphate Rock,Natural Resources,1601,0.5350613318285049,2.8922069997470235e-119,0.28629062881809375,0.4219816352070017,2.3273180755643055,212.4800087460787
Petroleum,Ecosystem Quality,1601,0.84703942033125,0.0,0.7174757795951001,0.8327147102609567,-6.422419206268703,3.780774661899982e-07
Petroleum,Human Health,1599,0.8738143570164904,0.0,0.7635515305281428,0.9640806380835739,-4.070161899924766,8.508208029891339e-05
Petroleum,Natural Resources,1601,0.8474428552834834,0.0,0.7181593929710233,0.9747249302838474,0.43975127113106116,2.7526517547844023
Palladium,Ecosystem Quality,1601,0.7723203912748918,2.0050745e-317,0.5964787867790022,0.5244616156342118,-1.6065070993001167,0.024745310104816565
Palladium,Human Health,1599,0.824787619033543,0.0,0.6802746165110213,0.6287359428005328,1.6364394223914736,43.295167321930926
Palladium,Natural Resources,1601,0.8001277215420823,0.0,0.6402043707801242,0.6357034400656466,6.20959390202416,1620294.2918527017
Natural Gas,Ecosystem Quality,1601,0.7932692512157375,0.0,0.6292761049243769,0.6168746941369628,-6.078831985095929,8.340037720991028e-07
Natural Gas,Human Health,1599,0.8557888442923892,0.0,0.7323745460153035,0.7471691140038884,-3.7411783284531284,0.00018147703352312054
Natural Gas,Natural Resources,1601,0.8407934339885171,0.0,0.706933598638203,0.7649704918840275,0.7528147744655225,5.659978408583889
Magnesium,Ecosystem Quality,1601,0.7935433364639386,0.0,0.62971102684632,0.6373749190963708,-4.230053565090682,5.8877103292989104e-05
Magnesium,Human Health,1599,0.8433899354550417,0.0,0.7113065832268595,0.7601749999535464,-1.511086689903868,0.030825725738082514
Magnesium,Natural Resources,1601,0.7895641225532259,0.0,0.6234115036232457,0.7419775479821654,3.0023570256697303,1005.4420063835232
Lithium,Ecosystem Quality,1601,0.6766506599820961,7.831699015988959e-215,0.45785611565420625,0.5171400089844784,-3.467671395712264,0.00034066585339404226
Lithium,Human Health,1599,0.6589097598388703,1.013086168564109e-199,0.4341620716109177,0.565012949342498,-0.7354673139477967,0.1838792340611392
Lithium,Natural Resources,1601,0.6218092341678155,6.033338914584824e-172,0.38664672369636566,0.5560064546568481,3.771584556889355,5909.960209639592
Lead,Ecosystem Quality,1600,0.8080223846635307,0.0,0.6529001741173392,0.6551753803522451,-4.310586984495435,4.891172904110751e-05
Lead,Human Health,1598,0.8366863640486808,0.0,0.700044071785002,0.7609738300796589,-1.622838067935381,0.023832079122368698
Lead,Natural Resources,1600,0.7376690909418099,6.705185173575948e-275,0.544155687730916,0.6997284168180851,2.8615520359712083,727.0295046727318
Latex,Ecosystem Quality,1601,0.7627629261588581,5.103271660304357e-305,0.5818072815224237,0.5552921994502905,-3.0656225069983236,0.0008597605090382554
Latex,Human Health,1599,0.8089121685266388,0.0,0.6543388963904694,0.660636796524664,-0.12798267374497785,0.7447616857122316
Latex,Natural Resources,1601,0.7051863285086774,4.5318923284339064e-241,0.49728775791554825,0.6006409222236305,4.215122442617092,16410.523773395344
Indium,Ecosystem Quality,1601,0.7884974669868958,0.0,0.6217282554447507,0.5897277349797498,-3.090802967455276,0.0008113290615452789
