location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;emptied;log parameters;activity type
GLO;SSP1-PkBudg500-2020;203449e2f4a62d5e07e1ead9daff6c3d;market for fluorescent whitening agent, distyrylbiphenyl type;fluorescent whitening agent, distyrylbiphenyl type;kilogram;4.845793689424246;0.000701150399191;0.0006275572229838;1.0448296930790641e-08;1.0005338464118044e-07;5.521043274894544e-05;2.9059398719101592;;;;
GLO;SSP1-PkBudg500-2020;e5c701fe0333c03d1d18a515780a786f;market for heat and power co-generation unit, 1MWel, 6.4MWth;heat and power co-generation unit, 1MWel, 6.4MWth;unit;1510387.098437514;1531.3585326426114;451.7789282045159;0.0030248529718131;0.0011581581394998;1.0205477628785515;19338.562264980905;;;;
GLO;SSP1-PkBudg500-2020;b347692f644518e97f7e43cb2d71b255;market for generator, 200kW electrical;generator, 200kW electrical;unit;2988.8163847591604;14.469206773199808;4.363684199898356;0.0001051351494282;6.683112934465688e-05;0.0706955206134392;420.9945620508699;;;;
GLO;SSP1-PkBudg500-2020;6d98d1addce810689dac1580164233ec;market for copper-rich materials;copper-rich materials;kilogram;25.87792356678504;0.2089648961054481;0.0184620695455735;6.233330600380555e-07;1.4655363267575465e-07;0.000143148903137;0.9226346284202288;;;;
GLO;SSP1-PkBudg500-2020;f7246260eab45ab3c87506e982b1e3e8;market for isophthalic acid based unsaturated polyester resin;isophthalic acid based unsaturated polyester resin;kilogram;1.6333795329442036;0.0089466680514093;0.0091474327538474;6.586913670464705e-08;1.5540683916197682e-08;7.415859773480222e-06;0.6940863047892637;;;;
GLO;SSP1-PkBudg500-2020;076f157d3912ee401ae16c508fd857a7;market for cottonseed oil, crude;cottonseed oil, crude;kilogram;4.673162391842805;0.0014429849591245;0.0033380828706181;2.1443612952989025e-08;4.2595566457043375e-08;1.214441253732587e-05;0.1144553400548717;;;;
GLO;SSP1-PkBudg500-2020;14c93a6106e639bb246c06f0a84e2dc7;market for rare earth oxide concentrate, 50% REO;rare earth oxide concentrate, 50% REO;kilogram;0.927900929095633;0.2772146738838553;0.0071445815813173;1.911146188889515e-08;2.4545901305303426e-08;1.623133255356433e-05;1481.4274288115166;;;;
GLO;SSP1-PkBudg500-2020;bc7a7bbf74c818ce0aa239c5d5e063b2;market for chlorpropham;chlorpropham;kilogram;3.030371576075656;0.0130082480407862;0.0108240534873094;2.0420773497689282e-07;2.830085923684228e-08;1.4407806098512604e-05;0.8334804193267742;;;;
GLO;SSP1-PkBudg500-2020;25845b1c19923d4693ac29b40668eb72;market for cumene;cumene;kilogram;0.5260062575371862;0.0004885683010946;0.00911183439589;2.1692713444140964e-08;9.938694677597017e-09;4.7098058212175045e-06;0.6398706522902295;;;;
GLO;SSP1-PkBudg500-2020;aaa9b69c178f1b1a2cd7dff837d4c3df;market for sodium aluminate, powder;sodium aluminate, powder;kilogram;1.139296086934968;0.0059552952037678;0.0023352125332296;6.379492079849348e-08;1.3525319164096663e-08;1.0509196737437213e-05;0.2427142447969537;;;;
