;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;emptied;parameters full;log parameters
a29e9b49ad04ac016ff07431b2f842ae;RoW;SSP5-Base-2030;a29e9b49ad04ac016ff07431b2f842ae;market for nylon 6-6;nylon 6-6;kilogram;0.5029004353962153;0.00016676395362969155;0.03834987559471279;7.588278583562819e-10;3.1860984594450996e-08;1.3958107662814713e-05;0.9825400998661301;;;
e4c1035464dcd484321273848ce82d54;GLO;SSP5-Base-2030;e4c1035464dcd484321273848ce82d54;market for fish block, hake;fish block, hake;kilogram;0.4587079198462376;0.0008508108323146831;0.016407291627014556;3.8975354675592126e-09;3.242483560880019e-08;1.6558782988354434e-05;0.44112289368547397;;;
72c4103b7f93fdcf8b60821a3760455b;GLO;SSP5-Base-2030;72c4103b7f93fdcf8b60821a3760455b;market for epichlorohydrin;epichlorohydrin;kilogram;1.6229926153818028;0.011823609679341549;0.0408043264635942;7.040090180310104e-08;1.2254735561597784e-08;5.6750030491433944e-06;0.4207250190968916;;;
4a61290db042f90ac7e28c9428ccd272;GLO;SSP5-Base-2030;4a61290db042f90ac7e28c9428ccd272;market for calcium borates;calcium borates;kilogram;0.1449834790333649;0.0035612283307621495;0.0009971878969264418;3.84373195119198e-09;1.890639920029373e-09;8.27541614561625e-07;0.0471906992982866;;;
79bd3d97d2026a82ab122212b6f0151c;GLO;SSP5-Base-2030;79bd3d97d2026a82ab122212b6f0151c;market for aluminium removed by turning, primarily roughing, conventional;aluminium removed by turning, primarily roughing, conventional;kilogram;9.026711649350638;0.1774776567390035;0.4447603334139736;1.833472072608461e-07;4.554188869801602e-08;2.9693004177830474e-05;0.5119341899869605;;;
b30dd218bce808fee0e2164d3a831eda;GLO;SSP5-Base-2030;b30dd218bce808fee0e2164d3a831eda;market for organophosphorus-compound, unspecified;organophosphorus-compound, unspecified;kilogram;4.095823888803641;0.01858877247638415;0.00913642755192787;2.140615310569953e-07;5.2810868828920425e-08;2.5882853262143247e-05;0.7637552952964597;;;
0ec07589c535fa6a72e9ba6025345669;GLO;SSP5-Base-2030;0ec07589c535fa6a72e9ba6025345669;market for butane-1,4-diol;butane-1,4-diol;kilogram;1.2088469036643394;0.0023718529316239523;0.003981205675881815;1.0837157615723693e-07;1.835284447157256e-08;8.849584069737246e-06;0.4828346870025959;;;
68f38f2e6956e52f3dd699357f23d52d;RoW;SSP5-Base-2030;68f38f2e6956e52f3dd699357f23d52d;market for aminopyridine;aminopyridine;kilogram;3.5777780703516013;0.012045329982423927;0.017537220336373113;1.1456207623889664e-07;3.8268114417261253e-08;1.7476503744864385e-05;1.4517742037289252;;;
e17a492637a3f0da009b56adc791bf7e;RoW;SSP5-Base-2030;e17a492637a3f0da009b56adc791bf7e;market for sawnwood, hardwood, raw, dried (u=20%);sawnwood, hardwood, raw, dried (u=20%);cubic meter;44.37680050655891;0.14217555815819216;0.24273393830119078;8.09366310081321e-07;7.268951980557324e-06;0.00018654310305449355;4.381663456422321;;;
3613a817f05b3bc4a675f72cf9672203;RoW;SSP5-Base-2030;3613a817f05b3bc4a675f72cf9672203;market for hydrogen cyanide;hydrogen cyanide;kilogram;0.5002899557138254;0.001200781848831719;0.017258690641767833;7.061315088186427e-09;1.9093695875930857e-08;7.979370851628944e-06;0.7305380021116764;;;
