;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;log parameters;emptied;parameters full
848336823f7b6161cc7b39fff729c3ab;RoW;SSP5-Base-2020;848336823f7b6161cc7b39fff729c3ab;market for methylchloride;methylchloride;kilogram;0.2268205748500842;7.496945165812422e-05;0.0033797102278109803;5.253970841709547e-10;1.485156441949796e-08;7.470562233385642e-06;0.3037325668013211;;;
9e8b20a3718220690fb65a3b2ce93625;RoW;SSP5-Base-2020;9e8b20a3718220690fb65a3b2ce93625;market for lightweight concrete block, expanded perlite;lightweight concrete block, expanded perlite;kilogram;0.30259633892697013;0.0018278786887858927;0.0075185693567482005;9.17712177170626e-09;6.088552785728901e-09;2.9977643806651613e-06;0.059965297186624605;;;
077395d23d3dc7d266b094eb0f53d1bb;RoW;SSP5-Base-2020;077395d23d3dc7d266b094eb0f53d1bb;market for bagasse, from sugarcane;bagasse, from sugarcane;kilogram;0.013708820784982138;1.3548806419160632e-05;2.8806456410036282e-05;1.1722104637889394e-10;5.572518658569501e-10;1.3143496082631828e-07;0.0009200431520814749;;;
e987717e5aa26678fd989b2768e8ad12;GLO;SSP5-Base-2020;e987717e5aa26678fd989b2768e8ad12;market for packaging, for fertilisers or pesticides;packaging, for fertilisers or pesticides;kilogram;0.4836724659447892;0.002816003152278193;0.0008308488949777316;5.335134460817435e-09;1.2135295234384769e-09;5.881313356748852e-07;0.044750581316667995;;;
087d2f214dbd5a86d7be12d8a921ef94;RoW;SSP5-Base-2020;087d2f214dbd5a86d7be12d8a921ef94;market for laterite, mineral;laterite, mineral;kilogram;0.028290409517677573;2.037648430051152e-05;7.559403725208408e-05;8.875673522802959e-10;2.2015855173883875e-10;7.341547975243196e-08;0.002539686910044202;;;
7bc83af8add810bea547f73525fd71b1;GLO;SSP5-Base-2020;7bc83af8add810bea547f73525fd71b1;market for ethyl tert-butyl ether;ethyl tert-butyl ether;kilogram;0.4327732271412595;0.0037079163158442556;0.003599038317967411;1.149051932556718e-08;1.5291980191126446e-08;3.830063452243967e-06;0.34409873822502;;;
c819ffd8b2666db32408aadf99fc96cb;RoW;SSP5-Base-2020;c819ffd8b2666db32408aadf99fc96cb;market for aluminium oxide, metallurgical;aluminium oxide, metallurgical;kilogram;0.2537620351484374;0.0010463219461978195;0.00123680871938026;1.546613032656628e-08;1.1488620625972968e-08;1.2306043603106752e-05;0.12446153850903614;;;
4e402383250f11fdef7cdad00d487a56;GLO;SSP5-Base-2020;4e402383250f11fdef7cdad00d487a56;market for 2-nitroaniline;2-nitroaniline;kilogram;2.3246320333695762;0.010480029131638487;0.009358252524846301;1.1363222487275796e-07;2.449509261626342e-08;1.186625757928893e-05;0.737764446794414;;;
55bcb0920b3245677d2da82adf26ebea;GLO;SSP5-Base-2020;55bcb0920b3245677d2da82adf26ebea;market for benzyl alcohol;benzyl alcohol;kilogram;2.190979521287126;0.007926910465467516;0.008200665865473113;6.933603588738007e-08;1.753756132681201e-08;8.373714930868981e-06;0.6738868010192861;;;
48625ffdb1c24080a04f2ae1114e9ce2;RoW;SSP5-Base-2020;48625ffdb1c24080a04f2ae1114e9ce2;market for wood wool;wood wool;kilogram;0.1410171313120653;0.00010720399413547699;0.00020033310099492382;2.361074229592391e-09;2.12740014257356e-09;2.1394381207523845e-07;0.006758931312252034;;;
028231b9b9dedf2701eccd92ac8b3b58;GLO;SSP5-Base-2020;028231b9b9dedf2701eccd92ac8b3b58;market for cottonseed, organic, for sowing;cottonseed, organic, for sowing;kilogram;0.19031371408984255;8.728646502665748e-05;0.00012674796115573283;2.212756905830671e-09;2.3248487608681238e-08;7.812119094534404e-07;0.006244689955031555;;;
21852c4e242046354e887a60ad34d612;GLO;SSP5-Base-2020;21852c4e242046354e887a60ad34d612;market for cottonseed oil, refined;cottonseed oil, refined;kilogram;5.783489655450477;0.26899578989216116;0.004581010668688936;4.8218376707436494e-08;7.599467137274927e-08;1.5963074126949922e-05;0.16805741185984568;;;
159b0b89ee06badd075ce6e683fbc8c0;RoW;SSP5-Base-2020;159b0b89ee06badd075ce6e683fbc8c0;market for maize grain;maize grain;kilogram;0.3513761646338651;0.00034957228557420624;0.0009462536274612021;4.332229976723061e-09;6.209114956940919e-09;1.6380354035061526e-06;0.036367799286165695;;;
f5a6605496bf26f761809f2ca8a85e2f;RoW;SSP5-Base-2020;f5a6605496bf26f761809f2ca8a85e2f;market for titanium dioxide;titanium dioxide;kilogram;8.422711993389209;0.12056424630502033;0.018917165455919507;1.0189378396209266e-07;3.44820801615926e-08;1.8220147939002464e-05;0.638719479558199;;;
48c366d0b580d8cd8ae7ae2d54fc27c7;RoW;SSP5-Base-2020;48c366d0b580d8cd8ae7ae2d54fc27c7;market for soybean meal;soybean meal;kilogram;0.4429634640018364;0.00034154255959258165;0.0007327406047306939;4.347176743229363e-09;3.4302257792815775e-08;3.593917685427153e-06;0.032599296655449445;;;
