Category;mean;median;std;min;max
AgriForeAnim;3.94e-05;1.79e-05;8.58e-05;-5.63e-08;6.99e-04
Chemical;1.77e-04;1.82e-05;1.74e-03;-5.69e-05;4.14e-02
GlasNonMetal;4.71e-06;3.07e-06;6.38e-06;-2.00e-07;3.82e-05
MachElecTrans;5.23e-04;1.54e-04;1.24e-03;3.39e-06;9.84e-03
MetalAlloy;3.74e-02;6.15e-05;1.68e-01;2.61e-08;1.20e+00
OreMinFuel;9.36e-04;3.71e-06;2.91e-03;1.01e-09;1.13e-02
PlastRub;3.07e-05;1.62e-05;6.44e-05;6.15e-07;4.24e-04
ProcBio;4.39e-05;1.50e-05;1.59e-04;2.00e-07;1.93e-03
