Category;mean;median;std;min;max
AgriForeAnim;1.37e-02;2.39e-03;6.83e-02;-1.27e-04;7.08e-01
Chemical;1.11e-01;9.33e-03;8.91e-01;-9.24e-03;1.79e+01
GlasNonMetal;2.81e-03;1.31e-03;4.28e-03;-9.05e-05;2.40e-02
MachElecTrans;4.10e-01;1.04e-01;9.92e-01;1.58e-03;8.23e+00
MetalAlloy;3.43e+01;5.52e-02;1.54e+02;3.72e-05;1.09e+03
OreMinFuel;1.68e+00;1.68e-03;5.22e+00;4.14e-07;2.04e+01
PlastRub;1.42e-02;8.12e-03;2.48e-02;2.80e-04;1.61e-01
ProcBio;1.16e-02;2.73e-03;5.80e-02;1.99e-05;6.35e-01
