Category;mean;median;std;min;max
AgriForeAnim;1.33e-01;1.09e-01;1.32e-01;6.74e-03;9.71e-01
Chemical;2.75e-01;8.13e-02;9.44e-01;3.11e-04;1.15e+01
GlasNonMetal;1.74e-01;8.53e-02;3.67e-01;6.47e-03;3.61e+00
MachElecTrans;2.48e-01;1.05e-01;7.67e-01;7.32e-03;6.09e+00
MetalAlloy;3.29e-01;3.29e-02;8.71e-01;3.82e-04;5.20e+00
OreMinFuel;1.31e+00;2.26e-01;4.11e+00;1.73e-04;2.46e+01
PlastRub;3.85e+00;1.98e-01;8.54e+00;4.96e-03;4.26e+01
ProcBio;1.16e-01;8.62e-02;1.76e-01;6.85e-04;1.26e+00
