Category;mean;median;std;min;max
AgriForeAnim;6.54e+01;3.35e+01;1.04e+02;-1.61e+00;9.96e+02
Chemical;2.83e+04;5.39e+02;2.35e+05;0.00e+00;4.65e+06
GlasNonMetal;1.03e+02;4.03e+01;1.64e+02;-5.05e+00;1.06e+03
MachElecTrans;2.23e+04;2.52e+03;1.14e+05;8.02e+01;1.14e+06
MetalAlloy;2.30e+05;7.27e+02;9.91e+05;3.57e-01;6.49e+06
OreMinFuel;2.19e+04;1.88e+02;6.47e+04;5.63e-03;2.49e+05
PlastRub;9.02e+02;7.20e+02;9.65e+02;1.63e+01;4.84e+03
ProcBio;1.67e+02;5.25e+01;6.62e+02;8.27e-01;8.46e+03
