Category;mean;median;std;min;max
AgriForeAnim;3.80e+00;2.48e+00;3.91e+00;6.87e-02;1.46e+01
Chemical;1.06e+00;8.62e-01;8.09e-01;8.61e-03;9.65e+00
GlasNonMetal;1.03e+00;8.43e-01;8.01e-01;9.18e-02;6.26e+00
MachElecTrans;5.29e-01;2.86e-01;6.87e-01;5.90e-02;4.26e+00
MetalAlloy;5.56e-01;4.92e-01;4.36e-01;7.07e-03;2.25e+00
OreMinFuel;9.15e-01;6.13e-01;1.05e+00;6.63e-03;6.01e+00
PlastRub;6.99e-01;4.21e-01;6.44e-01;1.76e-02;2.17e+00
ProcBio;1.46e+00;1.11e+00;1.94e+00;1.95e-02;1.62e+01
