Category;mean;median;std;min;max
AgriForeAnim;7.49e-03;3.12e-03;1.56e-02;-9.73e-05;1.21e-01
Chemical;1.78e+04;2.79e-02;4.47e+05;0.00e+00;1.16e+07
GlasNonMetal;2.71e-02;1.16e-03;1.44e-01;-3.02e-04;1.30e+00
MachElecTrans;3.99e+01;3.24e-01;2.59e+02;2.42e-03;2.64e+03
MetalAlloy;1.36e+02;7.14e-02;9.62e+02;1.79e-05;8.80e+03
OreMinFuel;7.47e+01;2.22e-03;5.01e+02;0.00e+00;5.68e+03
PlastRub;3.79e+00;2.01e-02;1.46e+01;1.29e-05;7.29e+01
ProcBio;2.03e-02;3.65e-03;8.89e-02;0.00e+00;1.01e+00
