;activity type;database;location;name;reference product;unit;code;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources
6fb5ffbf0e642eed3d415a143eab5079;market activity;ecoinvent-3.9.1-cutoff;GLO;market for battery, lead acid, rechargeable, stationary;battery, lead acid, rechargeable, stationary;kilogram;6fb5ffbf0e642eed3d415a143eab5079;1.7615270762834867;0.034655566382732275;0.01670892496697183;1.1240785514085355e-07;1.91509943595734e-08;2.321419618455234e-05;0.2966874011182033
b8160daeadf769967ad054f6e6b448e3;market activity;ecoinvent-3.9.1-cutoff;GLO;market for Distiller's Dried Grains with Solubles;Distiller's Dried Grains with Solubles;kilogram;b8160daeadf769967ad054f6e6b448e3;0.026616401254924718;0.00012344858906191306;5.2132091603454946e-05;5.880856962857781e-10;3.6803552005012125e-10;1.1409286517114661e-07;0.002908940345969809
00d51d61fff9d552854a91bd45ad14c4;market activity;ecoinvent-3.9.1-cutoff;RoW;market for hydrochloric acid, without water, in 30% solution state;hydrochloric acid, without water, in 30% solution state;kilogram;00d51d61fff9d552854a91bd45ad14c4;0.5780763167579153;0.005215721400096667;0.0008688445815131571;3.3899144858804175e-08;4.311284330096132e-09;2.770769615481516e-06;0.07624319737307622
08cb24e0a210caa960c30734566e2bc9;market activity;ecoinvent-3.9.1-cutoff;GLO;market for green asparagus;green asparagus;kilogram;08cb24e0a210caa960c30734566e2bc9;1.260264977786954;0.0007832679535422883;0.0024126052543966894;8.729592464332071e-09;3.969018963547976e-08;2.944326347155364e-06;0.08415549917537965
3a2ce46223f8bc9ae688d157d5ce9264;market activity;ecoinvent-3.9.1-cutoff;GLO;market for lorry with refrigeration machine, R134a as refrigerant, 16 metric ton;lorry with refrigeration machine, R134a as refrigerant, 16 metric ton;unit;3a2ce46223f8bc9ae688d157d5ce9264;20559.259374244153;191.11236929298536;182.86208035250024;0.0006624683709431512;0.0001648659163758372;0.14043541456314038;3110.3087037774194
3249020938f10bd074cfa20c818cd12d;market activity;ecoinvent-3.9.1-cutoff;GLO;market for napropamide;napropamide;kilogram;3249020938f10bd074cfa20c818cd12d;3.9634480410170347;0.017989317249201973;0.01194556916169746;3.643404862119944e-07;1.3312598422777078e-07;9.988838575351254e-05;1.1166603441482585
8ff8021cced130c0e72b1b341b0b21b4;market activity;ecoinvent-3.9.1-cutoff;RoW;market for sodium silicate, spray powder, 80%;sodium silicate, spray powder, 80%;kilogram;8ff8021cced130c0e72b1b341b0b21b4;1.3439942229055015;0.005282986497860031;0.001732612880660204;5.5673867354202146e-08;7.533621498972592e-09;4.2120055692644876e-06;0.15157380142141752
bc63d2f023b5adf9263d190c2b3b4a6b;market activity;ecoinvent-3.9.1-cutoff;GLO;market for polystyrene, general purpose;polystyrene, general purpose;kilogram;bc63d2f023b5adf9263d190c2b3b4a6b;0.49077223708622386;9.434380553690095e-05;0.02818802755498108;8.768183228809353e-10;1.4130300330432873e-08;6.074814327698526e-06;0.755651150861692
df051e2658302b5b757df5de533845a2;market activity;ecoinvent-3.9.1-cutoff;GLO;market for blower and heat exchange unit, Avent E 97;blower and heat exchange unit, Avent E 97;unit;df051e2658302b5b757df5de533845a2;193.0448872705553;0.5445816692107661;1.2685880168103736;7.648446389686886e-06;2.262379048111697e-06;0.0016011444571943788;23.40422370918486
8829ffe4656e9ade9e4f8cf1e6230f69;market activity;ecoinvent-3.9.1-cutoff;GLO;market for ferrochromium, high-carbon, 68% Cr;ferrochromium, high-carbon, 68% Cr;kilogram;8829ffe4656e9ade9e4f8cf1e6230f69;2.807649039030944;0.04383633858419342;0.0018180269355747881;1.3944779983679288e-07;2.536103738690227e-08;3.792321639274351e-05;0.21731787456285734
