;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;parameters full;emptied
cd6ff80dcb82bb6fffe8be574a9d7429;GLO;SSP1-PkBudg500-2050;cd6ff80dcb82bb6fffe8be574a9d7429;market for broccoli;broccoli;kilogram;1.084902951068406;0.0007711893297948808;0.0015798290532366324;9.756395209520731e-09;4.2382084606839013e-10;3.811442040439786e-14;1.3950552826970212e-09;2.1899395350359366e-11;4.5805770523453226e-12;1.0466562245121423e-10;3.7310009397558264e-11;2.143541221755888e-12;1.6536518977844879e-09;2.1270246067027864e-10;1.4755435021127812e-14;3.2979864847641946e-10;4.6259534608309947e-07;8.5483848138537e-08;2.82922152511089e-07;1.5146938144778212e-10;2.30804822103288e-09;3.97265038660793e-07;1.462993510061155e-09;5.423355319351658e-08;0.014382356355273844;0.0023868047100927504;3.855879910799514e-09;1.2864215888125365e-06;0.016769161395165242;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";
cf2af2f1a807e874549efc037bccb781;GLO;SSP1-PkBudg500-2050;cf2af2f1a807e874549efc037bccb781;market for sodium fluoride;sodium fluoride;kilogram;2.515300016168089;0.012915845654258917;0.004976353876329671;7.121834127851001e-08;3.175163969424328e-09;6.47198886240791e-14;2.3693291202920046e-09;2.8012106638466467e-10;5.6485888813438456e-11;7.017863823396328e-10;3.348980037058908e-10;1.0221705182353101e-13;9.999625202272085e-10;4.0749876289113195e-10;3.66362245003531e-14;8.188560559681568e-10;7.85159436909694e-07;6.677884756143608e-07;1.6044923861757184e-06;1.0750101054803747e-09;6.311051829283229e-10;3.0150833559599984e-06;2.776430182197409e-09;1.3465632340927408e-07;0.06316664758437299;2.093982659491486;8.325433941636404e-09;6.2116574625036545e-06;2.157149307894715;;
590bd21d709544178a116528f0180e33;GLO;SSP1-PkBudg500-2050;590bd21d709544178a116528f0180e33;market for internal combustion engine, passenger car;internal combustion engine, passenger car;kilogram;5.606298246797316;0.03560927352211368;0.015018146804650728;1.7050242679556692e-07;8.013227111579233e-09;2.600541784533173e-13;9.521664126189023e-09;2.577128341181251e-09;4.817311638447407e-10;9.021042210850607e-10;1.0947939654102997e-09;6.268848165660162e-13;2.4024657371275156e-09;1.8787675976893787e-09;3.310328083738856e-14;7.398912512354819e-10;3.1551035546252328e-06;8.678787654289767e-06;5.723312244466679e-06;2.6880920853112805e-09;9.139779911483315e-10;7.914538580356717e-06;1.2151945449675203e-08;1.2167100052311498e-07;0.260937712810563;0.1198470000481234;2.6872769194698994e-08;2.5609156184835503e-05;0.3807847135985777;;
07e5f1b0343c3344e99d193830cd925d;RoW;SSP1-PkBudg500-2050;07e5f1b0343c3344e99d193830cd925d;market for particleboard, cement bonded;particleboard, cement bonded;cubic meter;392.22247174898723;0.3292432882431251;0.36992246461804357;3.2503626564076616e-06;4.29888348538588e-07;7.206777359158179e-11;2.6383587140331863e-06;1.5297827950907394e-08;3.600717734187368e-09;1.2511324339370793e-07;8.182501821705584e-08;2.3669556877988223e-11;1.361499542829044e-06;2.838106199154624e-07;2.2491598048109608e-12;5.027095865164439e-08;0.0008743118191650685;9.015927145033228e-05;0.00012041406142882659;1.3499173098178294e-07;5.814195971160241e-08;0.0006476708599881324;1.945041549429021e-06;8.26677951143261e-06;48.769752475897555;2.94665137138462;4.939398393962208e-06;0.0017429299645077769;51.716403897553135;;
0096a9773d088ae0f18480d1d965eb68;GLO;SSP1-PkBudg500-2050;0096a9773d088ae0f18480d1d965eb68;market for paper machine;paper machine;unit;31099345.254921675;130321.50664660028;54971.43612367117;0.5661090040832233;0.0142946256634751;1.3574242249760629e-06;0.04969734576659365;0.0026781119735000145;0.0005636029575589681;0.00846517441090984;0.004575590275574457;1.2409286460697716e-06;0.011417155142348463;0.005537279950076691;1.041220813909617e-07;0.002327232078899849;16.468435636736007;113.98143775753391;12.504266198767056;0.00886274143874407;0.0017470412479502295;37.138038140242244;0.03699034920278443;0.3827003698400463;865048.88955814;597759.2640006203;0.09723084035814906;180.52223050446645;1462808.1558859926;;
9d318a9ed434e9ecc8a8e59eea1789e4;GLO;SSP1-PkBudg500-2050;9d318a9ed434e9ecc8a8e59eea1789e4;market for zinc oxide;zinc oxide;kilogram;0.783438510111516;0.0008781335094186563;0.001050402782617851;1.4862525537606947e-08;2.2936913767808916e-10;4.1014733423402354e-14;1.5015116819820411e-09;4.2565626195549035e-11;1.3642576746867141e-11;8.083053518613504e-10;4.703332159839645e-11;1.1317974076818631e-14;3.050570916518674e-10;1.2184513325940146e-10;1.2246667956926392e-15;2.7372520937204373e-11;4.97580854921477e-07;1.6532046620266954e-07;9.9835001959277e-07;2.3718578274568703e-10;4.6268554725077746e-11;2.7564718680614626e-07;8.10056061654663e-10;4.501258804869427e-09;0.050663650894735;0.00350209313155124;3.0693819392466096e-09;1.9424928070610286e-06;0.05416574405365876;;
36f82a3bf8b75b019a64306fc3d7781d;GLO;SSP1-PkBudg500-2050;36f82a3bf8b75b019a64306fc3d7781d;market for phosphorus pentachloride;phosphorus pentachloride;kilogram;2.495111236468558;0.009279751044413842;0.003294235817805102;9.902085109760547e-08;8.691436547352859e-10;6.034531684802725e-14;2.209743603752461e-09;1.3280865556755828e-10;2.7543156977928665e-11;4.802477446511583e-10;3.5905919689919333e-10;2.048830509313908e-13;1.8733192135181653e-09;3.7754923983102497e-10;1.974900797554345e-14;4.414099706147757e-10;7.32167713436574e-07;5.902912783124892e-07;6.792957483752391e-07;1.5619644450808618e-09;4.679236676536031e-10;1.2266880907512111e-06;2.5715800403220604e-09;7.258741426648592e-08;0.05631143198197139;0.05937706024629638;6.329169975356598e-09;3.3054562545025043e-06;0.11568849266967773;;
90d8e74d83fc4ecf4674f3e266b796fa;GLO;SSP1-PkBudg500-2050;90d8e74d83fc4ecf4674f3e266b796fa;market for tofu;tofu;kilogram;0.8731065883750646;0.005568446639034798;0.0017295523668549467;1.6111299293568054e-08;7.985578871504282e-10;7.62936478930091e-14;2.792718535138999e-09;2.8828682847656364e-11;6.533602200473129e-12;2.055269261597093e-10;1.3131427282692858e-10;3.602176500076723e-12;1.6582791004287492e-08;3.098933480820125e-10;1.6421980048751687e-14;3.6704758738933285e-10;9.258232005723459e-07;1.473071185661746e-07;2.179924162923598e-07;2.4931641868382754e-10;3.5370090997961133e-09;7.332019599903182e-07;2.1005132088094508e-09;6.03589339956152e-08;0.06226823227655299;0.004160162719606308;2.0859855346300526e-08;2.0905692145999952e-06;0.06642839536320688;;
92ba45fd7e34013e0c4393f1672196e0;GLO;SSP1-PkBudg500-2050;92ba45fd7e34013e0c4393f1672196e0;market for leach residue from copper production;leach residue from copper production;kilogram;-0.19289997234778647;-0.00016301830220259614;-0.0001885554525991319;-1.573124142881163e-09;-2.9648899169432995e-11;-1.3821042286185207e-15;-5.060162225807654e-11;-1.3897222343485982e-10;-2.643482993102764e-11;-5.3662703312031677e-11;-1.5400050011504117e-10;-4.7163302193978244e-15;-7.275896547895518e-11;-1.7555993270663583e-11;-1.7679223095376045e-16;-3.9514821993519695e-12;-1.676866345175511e-08;-3.243401301860859e-08;-4.341671034163533e-07;-2.3311738167277656e-11;-6.138263411169783e-12;-4.864168617496595e-08;-1.1886267245948995e-10;-6.497992670431199e-10;-0.001667465785779526;-0.0007945630939467037;-5.43641870551753e-10;-5.328095316252213e-07;-0.0024620288836777115;;
d8ba411ea8ac325a4c0b63e1db9b2fed;GLO;SSP1-PkBudg500-2050;d8ba411ea8ac325a4c0b63e1db9b2fed;market for nickel sulfate;nickel sulfate;kilogram;45.116078711419505;0.3829458092832606;0.029706855906575166;1.0037790336035496e-06;1.767248696900949e-08;3.2858647586840813e-13;1.2029270044513467e-08;9.404156677570389e-10;1.953208049607973e-10;4.159687915901405e-09;1.4279002181887312e-09;2.408975212987567e-12;3.8276908308787436e-09;1.4492780245524886e-09;7.274724317610499e-13;1.6259732393868155e-08;3.986273361949091e-06;1.9327884850145736e-06;7.834410525777899e-06;1.3788909418380128e-08;2.142826183495993e-09;1.620008625013897e-05;9.722965474784422e-09;2.673822545268082e-06;0.41939129881546455;0.49427281712236937;4.170544067929407e-08;3.2653011206813296e-05;0.9136641321975663;;
