;location;database;code;name;reference product;unit;Coke;Incineration (kg);Vanadium;Holmium;Coal(brown);Palladium;Openburning (kg);Gadolinium;Petroleum;Titanium;Bauxite;Uranium;Cobalt;Copper;Fluorspar;Indium;Landfill (m3);Tungsten;Platinum;Radioactive (m3);Sand;Rhodium;Tin;Vegetable oil;Carbondioxide (kg);ecosystem quality;Phosphate rock;Helium;Tantalum;Nickel;Scandium;Cadmium;Graphite;Tellurium;Zirconium;Chromium;Silver;Europium;Hazardous (m3);human health;Lithium;Hazardous (kg);Beryllium;Dysprosium;Rare earth;Strontium;Cerium;Zinc;Coal(black);Hydrogen;Landfill (kg);Recycling (kg);Borates;Cement;Gallium;Erbium;Gold;Latex;natural resources;Lead;Natural gas;Magnesium;Antimony;Aluminium;Digestion (kg);Incineration (m3);Selenium;Digestion (m3);Composting (kg);Silicon;parameters full;emptied;log parameters
fdabbf27abc2d302066ebce8affec56a;GLO;SSP1-PkBudg500-2040;fdabbf27abc2d302066ebce8affec56a;market for air compressor, screw-type compressor, 300kW;air compressor, screw-type compressor, 300kW;unit;26831.657955191946;79.8180159744432;0.0;0.0;19.39825195662388;3.955384087782192e-05;8.74723412433562;0.0;438.8280555593652;1.4160284422014975;755.1012354393084;0.04937626681361726;0.03479093317560279;992.8522945154186;5.529173751452681;0.140330033141451;4.368077865048586e-07;0.0;0.9634580925996739;0.0003027970840623047;440.59758722314484;1.0348969325757687e-09;17.393691180985837;0.07102948620763745;7314.466301991919;9.813939575200964e-05;10.345745840362655;0.006867519176277551;0.020543239416726495;-1945.0698331260032;0.0;0.00030629348605209236;0.3335996327058173;0.00021256470423505384;0.0012137583805846889;0.016369464216255007;0.008195857050675574;0.0;0.0003027970840623047;0.1509052548019304;1.106051659475113;45.43582687516425;0.0;0.0;0.3343373311023797;0.004913626494199019;1.3898422101005767e-07;11.835783522349093;2147.3853236158952;5.613310441443795;4242.263993764856;335.5847830619372;0.0548934099332274;792.2582897690131;9.829867767617708e-06;0.0;0.0009034283384906981;0.037126625339450964;1150.4882831649884;0.8587194035502518;675.0937020242404;40.52385238796862;-0.00011303091481505159;778.7388192274301;0.11744814835662362;3.931270322629104e-06;2.4556290770265465e-10;0.0;0.17420831092062677;4.429512831817203;;;
2b4fb423557ff1bf236754634d4c7b73;GLO;SSP1-PkBudg500-2040;2b4fb423557ff1bf236754634d4c7b73;market for cucumber;cucumber;kilogram;0.4726394335340868;0.07325243050191198;0.0;0.0;0.8959953163831695;1.0218688598414681e-09;0.00014739385976926642;0.0;0.1031573469522845;3.801542165978876e-05;0.0019018267677608455;2.3190561336420014e-06;2.0664915620319286e-06;0.001137216424313788;7.339989702081813e-05;7.342372302758665e-06;2.082009216342537e-11;0.0;5.8200236996886625e-05;1.4393435090629523e-08;0.016029211446051458;6.923667134237369e-12;5.1847280838067855e-05;1.9788822238198444e-05;0.22462772482027488;1.4680063911802243e-08;0.0012395293646302963;5.22701104947787e-08;1.111391447702145e-06;-0.00298648188532599;0.0;1.7948744264775943e-08;2.569663748283584e-06;1.2465877262202608e-08;1.0535479036790797e-07;4.639876892739662e-07;5.051289283811879e-07;0.0;1.4393435090629523e-08;6.75553743022311e-06;8.904900521383591e-05;0.0012699542347856928;0.0;0.0;2.6621813808513527e-06;5.403397284041398e-08;1.0264914798167043e-11;0.00017084362812416995;2.8434247766393;0.0010554908374994314;0.2441636267206212;0.007795984705847643;6.479648703750266e-06;0.00877360531495549;5.105930367697355e-10;0.0;1.0898806226964462e-08;1.5047202827484348e-06;0.0926873601052089;0.00018531982537788104;0.009494947906135432;8.654721158453549e-05;-1.4763539938487615e-09;0.001977378426075954;0.05776700468083716;1.873808411049617e-10;1.3931745926809902e-14;0.0;0.08549991760659278;6.28619669032163e-05;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;
5d803d215dc22df2449eb16876ed5484;GLO;SSP1-PkBudg500-2040;5d803d215dc22df2449eb16876ed5484;market for 2,5-dimethylhexane-2,5-dihydroperoxide;2,5-dimethylhexane-2,5-dihydroperoxide;kilogram;0.22337612685257335;0.020462899989206647;0.0;0.0;0.001151926340431509;1.0968848944471501e-08;0.0055275177008066835;0.0;0.052447708344581276;0.0005278833081501773;0.018507752750233926;1.6421494847586736e-05;6.311898205358131e-06;0.010981506612962457;0.001169931201983787;4.9735286921506076e-05;1.41851831237095e-10;0.0;0.0001272349082750001;9.732291399076353e-08;0.08304744367534019;7.050969979793266e-14;0.00015896209713490555;1.3275271480118995e-05;0.3909186975235962;9.399984326208078e-09;0.0011946010842339733;1.6852852548961027e-06;9.176056551561182e-06;-0.03128521618971751;0.0;1.3779485221822003e-07;1.5765395861658814e-05;9.578357164631639e-08;2.897268242071756e-07;2.3437652577602963e-06;2.526276988021789e-06;0.0;9.732291399076353e-08;4.878662432273763e-06;0.00026363143380418264;0.005489255750617107;0.0;0.0;2.2927502776003596e-05;5.700125768554186e-07;3.299187686264957e-11;0.0018625629851288686;0.18724060881805238;0.03948559363811203;0.604174779113267;0.09935436863735304;1.1507040842524936e-05;0.05026841970638805;3.5034052473340214e-09;0.0;2.3306298012318636e-07;2.3889323298942004e-06;0.3264734211992303;0.00019845958268600102;0.27030102732697653;0.0002610834396767374;-1.6178403676352993e-08;0.01669379084813256;5.628594734922705e-06;1.2766665603997444e-09;4.94968292965225e-14;0.0;8.412180001451671e-06;0.0004172694883122671;;;
22db46f6ba1211c058e4da0ac386d3e7;GLO;SSP1-PkBudg500-2040;22db46f6ba1211c058e4da0ac386d3e7;market for polyethylene, high density, granulate;polyethylene, high density, granulate;kilogram;0.07989870302434868;0.015976671423425664;0.0;0.0;0.00030808791094504413;2.9935123943625067e-09;0.0009601819020123835;0.0;0.031945542621655415;0.000515879821432092;0.00471091041973107;3.574597757075711e-06;3.869745065962459e-06;0.0032102196595455803;0.0010486091744935494;1.1081908712269328e-05;3.054865251326222e-11;0.0;5.369940779067528e-05;2.0726814931226055e-08;0.025598309306187707;6.116548725852664e-14;4.894025777093425e-05;4.471412363551886e-06;0.1337543419100347;7.688675469482893e-09;0.0009521661251343019;4.801369223416682e-07;2.4258795393022454e-06;-0.009239092264110748;0.0;3.253165123522826e-08;4.544034921121947e-06;2.2625136010109586e-08;1.785145691251378e-07;0.0001489039722349883;9.024840900311383e-07;0.0;2.0726814931226055e-08;3.4819408979176527e-06;0.0001622679767716991;0.01181360225341504;0.0;0.0;1.914987653115927e-05;1.8359648384151003e-07;2.0381459010955626e-11;0.0005686348551333406;0.08746842770134182;0.0010123141322340322;0.29059508699915315;0.029397773049294453;4.272408302563495e-06;0.019893726459743563;7.649707226194174e-10;0.0;6.615885128600076e-08;1.1841680063477748e-06;0.6367298218100068;9.512343836442957e-05;0.04977497169391423;8.500452170806733e-05;-5.242822930481522e-09;0.004807624660290806;1.8070733802604707e-06;2.749378896897502e-10;1.3544662092356198e-14;0.0;2.694547844547339e-06;9.584019796160658e-05;;;
996d953c73437245026e2b8b04b09a9b;GLO;SSP1-PkBudg500-2040;996d953c73437245026e2b8b04b09a9b;market for printed wiring board, mounted mainboard, desktop computer, Pb containing;printed wiring board, mounted mainboard, desktop computer, Pb containing;kilogram;9.964283186476127;2.5475550065017036;0.0;0.0;0.1308926005977245;3.409581370996594e-05;0.0802819477614326;0.0;2.7157885421063215;0.009157754561959684;1.1739273149402314;0.0012308446983859771;6.757641983886638e-05;1.1085667623096938;0.19934139669017809;0.003938745092031359;1.0818464153560911e-08;0.0;0.05079470636944963;7.484677737246364e-06;3.6391869185286416;1.6718701720289925e-12;0.0802552577014896;0.0008407383605936819;31.890639082732577;6.86972409111704e-07;0.18400434598733736;0.014269266138461542;0.13162054710565457;-0.8148727622033314;0.0;1.0384305774823584e-05;0.001969313482946846;7.215116185862242e-06;2.8189295630924177e-06;0.0027082130877199794;0.007699714340245449;0.0;7.484677737246364e-06;0.0007695861148749555;0.0025098796446694307;2.072090230034118;0.0;0.0;0.0035003212983788193;0.00046858264993615784;3.0542972018367514e-10;0.922561207198136;3.4364189697094494;0.03773417284300701;16.06493796559014;4.180880754522658;0.014308609610517548;2.287262382801149;2.8022059093814873e-07;0.0;0.001892964656099381;0.00034318117039284417;6.557157291411558;0.057544174073451596;6.425260469458793;0.01800234792045335;-1.433951962778252e-05;1.1361460535912804;0.0011554591167333738;9.736618342733626e-08;1.9277809317576534e-12;0.0;0.0017162851425540583;0.06062118340676042;;;
ff0b4d256f672f9de782b34a8467e5de;GLO;SSP1-PkBudg500-2040;ff0b4d256f672f9de782b34a8467e5de;market for furnace, wood chips, with silo, 1000kW;furnace, wood chips, with silo, 1000kW;unit;152503.20263164653;609.383279574468;0.0;0.0;280.4443311920369;0.0001662215130842872;42.49939105495828;0.0;3343.617586723193;6.827446551779471;522.5697004071152;0.22916254182476495;0.365075181379657;194.11111625413685;9.991246543271286;0.6173590214339926;2.076719285952678e-06;0.0;17.405484458216353;0.0014468760359531549;35743.2297468108;9.401211612317582e-09;124.33160182264044;0.5934124195801023;58450.996456266475;0.00033693929049136867;31.285894799017942;0.027560904862434007;0.13353630803596261;-7733.558984199693;0.0;0.0014871989477815875;0.4743152037384596;0.00103263683809824;0.012365197812883658;0.10739940738472994;0.057538764310628;0.0;0.0014468760359531549;0.5142792074385344;11.265841082748139;155.56272617849936;0.0;0.0;1.4659083380499935;0.0073856460917910045;1.4181456782915605e-06;23.24446464056812;12797.389145807118;54.80094537485489;243186.71688796752;1463.270825497907;0.30504066377712413;15724.635872044591;4.2275939164367705e-05;0.0;0.003702178549386629;0.0983469626187731;7219.98382025926;8.507285274952066;7733.235072645989;177.1906833664895;-0.00018133462138648405;435.7755333411326;0.5810390914643477;1.8690474734031463e-05;1.1854097036634649e-08;0.0;0.8613316982445914;6.575291784630292;;;
99facf178739e8ef54f60a392318a754;GLO;SSP1-PkBudg500-2040;99facf178739e8ef54f60a392318a754;market for scrap preparation facility;scrap preparation facility;unit;4375042.867388268;711996.8039945962;0.0;0.0;34054.06411438256;0.013920454141305843;100039.93519252844;0.0;411133.6113281669;1120.1817293987401;872411.6610669973;30.399134670038734;33.054545068334285;684602.213520189;2665.251493517991;91.80361916020503;0.0002684779302994681;0.0;800.9993972523193;0.18582407675804635;4123936.6809690376;7.449844000084208e-07;2782.7580281678306;451.6659818113346;3665624.751234976;0.09304416493296828;7435.701983729708;0.7604388047295361;14.907721068087843;-246520.20275377567;0.0;0.1523548135713018;305.1535408307204;0.10553418874323965;1.46878568054308;14.917573684959523;6.695970425623493;0.0;0.18582407675804635;65.29730294446335;1344.9056049080752;27050.869226465555;0.0;0.0;85.23013445419802;6.389792473988218;0.00016725998618691778;27175.757638919746;552659.5681276784;6357.607603042958;14666670.828754328;7281997.265193096;30.268117492841867;3251513.6721528247;0.00633899243941306;0.0;0.15403579676323184;28.10080458669266;542991.1284902456;1252.5210035011446;524449.8391620057;3549.946880363251;-0.16209814207839449;788733.8714705658;210.0443149693339;0.0024163015227189506;2.213602503533956e-06;0.0;312.1111019502593;3442.036997037805;;;
146f3dac85b63444bf2c37c4d2f26f11;GLO;SSP1-PkBudg500-2040;146f3dac85b63444bf2c37c4d2f26f11;market for plug, inlet and outlet, for printer cable;plug, inlet and outlet, for printer cable;unit;0.22148275064516906;0.017781121534599584;0.0;0.0;0.0007534416946263153;4.573796120543526e-09;0.0027350454591397663;0.0;0.016990098737802536;0.00021548636295525784;0.01529758073754905;1.9749682591991115e-06;1.1524167303421603e-06;0.02156414357116443;0.00016594752981256692;5.7903130395840155e-06;1.7146712256103136e-11;0.0;3.3159944540902624e-05;1.1794324036651764e-08;0.09184118677151121;3.5683506227425745e-14;0.00014302562859451703;8.566127988193542e-06;0.12678645288540918;3.0949150420396675e-09;0.0005683502499821305;1.2284872718482716e-06;2.493699695336857e-06;-0.026634351541532316;0.0;1.443009697296612e-08;0.00011084275854092814;1.0024915737063601e-08;4.98299669603189e-08;1.7743025076882882e-06;5.492893094546831e-07;0.0;1.1794324036651764e-08;2.6205703164237954e-06;4.538707452340701e-05;0.004111366310150168;0.0;0.0;4.4812518758782484e-06;2.2583110427578786e-06;5.681054905207368e-12;0.010223952843959038;0.028252359763498505;0.00023802760395324175;0.3486487692219209;0.18253762595418413;4.7535845856090785e-06;0.06340582649480778;4.056655999836348e-10;0.0;1.503267848139046e-07;1.0556652828656744e-06;0.0628481270784384;9.127062582357058e-05;0.031888285952517297;0.00021201645539262214;-6.443882629026046e-08;0.013656543524808775;8.00255495284873e-06;1.5432041988640057e-10;4.2815747416983086e-14;0.0;1.2148199702174434e-05;0.013355267806760022;;;
8935626f595b071e997e105b20cc88ea;GLO;SSP1-PkBudg500-2040;8935626f595b071e997e105b20cc88ea;market for inductor, miniature radio frequency chip;inductor, miniature radio frequency chip;kilogram;3.743481802650985;1.2291946336359556;0.0;0.0;0.04949549630597049;2.0410996003048136e-07;0.05424950191168065;0.0;1.6557277461240139;0.0033277629674795988;2.0875129015722784;0.0005813821482237995;3.418064106118026e-05;0.6481480233750225;0.008041990704144047;0.0018188285173062263;5.0625902747006765e-09;0.0;0.023950363860258325;3.4880688810459585e-06;1.2588144614789685;1.2952615085500027e-12;0.002218579883434847;0.0004268146309430983;18.324016774113694;4.5694480143706647e-07;0.052021098146796646;5.42991498587871e-06;0.00023827193169955656;-0.4503349781718424;0.0;5.229691360340682e-06;0.0004997120134665522;3.6355045230379693e-06;1.4461843433966597e-06;0.0024115132623223783;5.4636668402953594e-05;0.0;3.4880688810459585e-06;0.0005504557882763756;0.0012886983861145837;0.9634302805270096;0.0;0.0;0.0001731301081585126;0.0003391099839763977;1.566894742808136e-10;0.6545731475439177;1.2896123611572414;0.010051011068976014;7.690066995372287;1.373022527353179;0.00030401948283998874;0.7804638959823482;1.2938109982790191e-07;0.0;0.0017486527740515538;0.00023706323536974827;3.4031646897391776;0.010659718092719823;1.6087726710410244;0.004850665910005881;-1.0407258657834645e-05;1.3961526434425728;0.0007965084320804897;4.5563315301248916e-08;7.745906422926093e-13;0.0;0.0011814054956509246;0.014686316960952427;;;
7c69d8d16174f2f1090de6862b1564f8;RoW;SSP1-PkBudg500-2040;7c69d8d16174f2f1090de6862b1564f8;market for ethylene;ethylene;kilogram;0.00022816964682695576;0.008455805255050795;0.0;0.0;2.900949292923358e-06;4.080632806493071e-12;0.0005285855018798473;0.0;0.0004355889244848452;2.3566177272080686e-07;6.970202451332754e-06;6.481125145154724e-09;1.0038589090455705e-08;4.03650038411058e-06;4.6516857840678096e-07;2.062442359441032e-08;5.6354999146765145e-14;0.0;1.5165845894795606e-07;4.0028863221760556e-11;6.330384209490108e-05;3.022783179247599e-16;1.2148629690421383e-07;1.1273180163329764e-08;0.00183740644545315;5.284469929055163e-09;6.878281604596614e-07;3.7950281795687333e-10;3.979468519425889e-09;-1.1127530318395773e-05;0.0;5.223004085769928e-11;8.59326813623622e-09;3.629683125847589e-11;4.5156753510862216e-10;2.931847504600866e-09;1.9114693410163007e-09;0.0;4.0028863221760556e-11;2.13508883506878e-06;4.088831254898203e-07;0.00821803170909592;0.0;0.0;1.1490571289146084e-08;3.002596370671435e-10;5.19880694078105e-14;6.107847961048977e-07;8.043936571713506e-05;1.967000122000725e-06;0.01070439128486473;7.355447357899127e-05;7.3810348606544225e-09;0.004159158360774388;1.4067958642747031e-12;0.0;6.24160436700478e-11;2.7267884117999475e-09;0.5978406947304311;2.432774514405712e-07;7.998032120583378e-05;4.040062568358896e-07;-5.160802638771392e-12;6.5647479000298915e-06;9.900316945350004e-09;5.071950238116967e-13;1.9475253746912612e-16;0.0;1.469262769904365e-08;1.7807140396020826e-07;;;
