;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources
11192763bb46848d8960aa1fba914d6b;GLO;SSP5-Base-2020;11192763bb46848d8960aa1fba914d6b;market for polyaluminium chloride;polyaluminium chloride;kilogram;0.9571901602523538;0.0036443311618424208;0.0014390338174718894;4.6204594550194286e-08;1.7549552607843708e-09;1.3496308362412746e-13;4.941542708780994e-09;1.0668052372016805e-10;2.2295508113853865e-11;1.6769904959544784e-10;5.289888292033153e-10;1.0194630184639657e-13;2.6383803318084943e-10;5.497488466171488e-10;9.79632845402664e-15;2.1895768437480703e-10;1.637430379406464e-06;3.21294400493788e-06;8.554070912123701e-07;6.969771211966793e-10;4.121111769086726e-10;1.8287262603858622e-06;3.777525462575749e-09;3.6006373214471675e-08;0.09751305691471772;0.02879153174746156;8.335990559895493e-09;7.575399149774108e-06;0.12630458888113694
6ca84afd2a960b89a878add572e23ed8;GLO;SSP5-Base-2020;6ca84afd2a960b89a878add572e23ed8;market for gadolinium oxide;gadolinium oxide;kilogram;55.933139367867966;5.8510850521699105;6.3124429831675055;0.000543227117922769;1.0627428690008546e-07;7.871069710278766e-12;2.881997049993589e-07;1.1376673831261068e-08;2.2987397975563184e-09;2.172920297835017e-08;3.181395919243193e-08;2.6633060423625777e-09;3.0763180981166875e-07;2.823588748034751e-08;1.0764762016415546e-12;2.406031376981245e-08;9.549789490314815e-05;2.9798929584848863e-05;9.962755065477043e-05;1.3372872696182873e-07;4.0490409061181734e-08;0.00010521917632690061;1.929788579011254e-07;3.9565847607805495e-06;5.671532142983425;60.80765741710529;8.002281732989038e-07;0.0003344658971561427;66.47918958414904
5bfcf5c41aafd5a0d8c2df1b65755d9c;RoW;SSP5-Base-2020;5bfcf5c41aafd5a0d8c2df1b65755d9c;market for lightweight concrete block, expanded vermiculite;lightweight concrete block, expanded vermiculite;kilogram;0.21793894887813753;0.0006322053367953986;0.0007823061464212819;3.2013732344933983e-09;7.286094780444695e-10;4.393618220139137e-14;1.608556994623743e-09;7.223433524750593e-12;1.6309893556748008e-12;3.764897701953382e-11;6.626437501386953e-11;1.89447373257314e-14;1.256261818718912e-10;3.5260897031507645e-10;6.490935604523797e-16;1.4507886664501727e-11;5.330354640528102e-07;9.464358757497288e-08;6.720101125769022e-08;4.999136063962142e-11;6.772687066467038e-11;7.634937827016489e-07;2.4420581382970652e-09;2.385741259946434e-09;0.028483545844433467;0.013475166343660408;2.9282073671587283e-09;1.463310903048077e-06;0.041958712202601764
043b307c3e9f84641c9228b9770c5469;RoW;SSP5-Base-2020;043b307c3e9f84641c9228b9770c5469;market for SOx retained, in hard coal flue gas desulfurisation;SOx retained, in hard coal flue gas desulfurisation;kilogram;11.644658713411456;0.01592041554088436;0.00045048912034563937;3.534769366626854e-09;2.841379976360813e-09;7.642241552610925e-14;2.7974627688720368e-09;4.201419094340508e-11;8.640523456950502e-12;6.095559523057095e-11;5.7035716629693593e-11;7.215847435234652e-13;6.441628441766479e-11;8.89402321145065e-11;6.6786912863808626e-15;1.4927539287630532e-10;9.271901992257972e-07;6.573170481552406e-08;4.5995799478326293e-07;5.342287155713485e-11;4.54269193195516e-11;2.5257600571051798e-06;6.000626338961507e-10;2.454750799446964e-08;0.02115693073606972;0.00171531021224716;5.9616480432583525e-09;4.003885772520388e-06;0.022872241097592273
875d6b7361b90d6f1bdaf781c51d3ac6;GLO;SSP5-Base-2020;875d6b7361b90d6f1bdaf781c51d3ac6;market for chromium steel pipe;chromium steel pipe;kilogram;4.132045036848989;0.016825694589725278;0.09831003535901842;1.5102794367636108e-07;4.1884712462804365e-09;4.360227127486679e-13;1.596391148868436e-08;3.1467741163236327e-10;7.02198350789395e-11;1.9529285879765304e-09;1.3440068468577146e-09;3.5053306741325844e-13;1.0630596070551096e-09;1.425189481903932e-09;2.915044065444387e-14;6.515413416522127e-10;5.289898918526316e-06;2.9285270464098564e-05;1.6372992672158977e-06;2.3216427277047965e-09;5.332641573560053e-10;1.0290288738889323e-05;9.595248600395472e-09;1.0714234935015785e-07;0.25863661175354863;0.1287128517305948;2.632291624145979e-08;4.6622229364135976e-05;0.3873494641356848
5e6eb11a36779ca8260536862517b2ce;GLO;SSP5-Base-2020;5e6eb11a36779ca8260536862517b2ce;market for ferronickel;ferronickel;kilogram;5.00358324106798;0.011173548210749472;0.006943673151813234;1.8374091486817956e-07;7.780538051277274e-09;7.358496706419359e-13;2.6940815869758335e-08;5.479394789400436e-10;1.1835050344050423e-10;3.1558781857493555e-09;1.8252637448475835e-09;4.775297597888915e-13;1.907214768735378e-09;2.4631014612667884e-09;3.0764937600646456e-14;6.876269541783436e-10;8.927391221677959e-06;1.9114185675328067e-06;3.405780591686523e-06;2.7960439468249167e-09;8.94948087522627e-10;1.157310008074358e-05;1.6905287785283508e-08;1.1307642759910642e-07;0.48261666398117564;0.3282392167108901;4.4739913602354336e-08;2.595122009010791e-05;0.8108558813796927
ba33d7ba71218e2d5a1a27a1b57e1dd9;GLO;SSP5-Base-2020;ba33d7ba71218e2d5a1a27a1b57e1dd9;market for copper sulfate;copper sulfate;kilogram;4.7468099695541355;0.018495241752812742;0.006162881202940529;1.623178606499522e-07;3.889773808383447e-08;2.961526002927419e-13;1.0842736138410393e-08;1.113597888438549e-08;2.16560822572145e-09;1.6863057217608053e-08;1.2793081224608068e-08;5.989155503564395e-13;4.196177824710224e-09;3.665973641740425e-09;5.11699463391327e-14;1.1436991943031846e-09;3.593083729361718e-06;5.865103790007176e-06;5.344517813638615e-05;2.442401097678435e-09;1.8136400041982563e-09;3.4735514961493375e-05;2.525819678819596e-08;1.8807497052571681e-07;0.22980084016588403;0.18071843743758143;1.005612537799703e-07;9.78564556190226e-05;0.41051927874716465
f598011ad327f7382fcad4b120caeb36;RoW;SSP5-Base-2020;f598011ad327f7382fcad4b120caeb36;market for anode, graphite, for Li-ion battery;anode, graphite, for Li-ion battery;kilogram;1.3946504937487667;0.005127040142617883;0.005457957252419506;2.5116662300344004e-07;1.6855280242622735e-08;3.6236126513703034e-13;1.3268408033647581e-08;1.0883707853194043e-10;2.2523609406419092e-11;2.0283123341926546e-10;1.4607347189005675e-09;3.5705273148953603e-13;5.765491265563316e-10;2.310469667099629e-09;1.6011000471980815e-14;3.578617850882573e-10;4.396396461190254e-06;7.686277967571069e-07;9.022450098508e-07;3.839140830026024e-09;4.73285391210146e-10;1.6494973397522347e-05;1.551904993101772e-08;5.8848379904438816e-08;0.6307038140622195;0.012197003966256743;3.4806361481796225e-08;2.2640920097419374e-05;0.6429008183863382
0acfe7ce21776fc47624167459b5a5bd;GLO;SSP5-Base-2020;0acfe7ce21776fc47624167459b5a5bd;market for wind turbine, 4.5MW, onshore;wind turbine, 4.5MW, onshore;unit;53175719.50149654;15883.437210226994;12921.586066881386;0.07425982691085814;0.0061048306460674585;3.2880988735017634e-07;0.012039060804091617;0.004718681056656627;0.0008758761509708836;0.0021529972432168393;0.0021020748233619886;4.514018271260475e-07;0.00156244349011967;0.0015738556940823806;2.3392872589825055e-08;0.0005228539689313545;3.989256682990101;7.08326978997901;6.4698508403456385;0.0011389156484488342;0.0006747169687249851;6.791429570252615;0.010519573299629444;0.08598042674667707;253366.74442916384;158443.15375285543;0.031130606687345314;24.43211507406367;411809.8987048733
d7c279bf726f3a5b8df611c3193c5761;RoW;SSP5-Base-2020;d7c279bf726f3a5b8df611c3193c5761;market for supplementary cementitious materials;supplementary cementitious materials;kilogram;0.04266316075344155;0.00010479723691182095;6.25134110352424e-05;3.113982398415545e-10;2.0648465589844782e-11;1.4584081647130575e-15;5.339611123384643e-11;8.657387220454292e-13;1.98306111620388e-13;6.017411348473444e-12;3.771985110597785e-12;9.311189910558044e-16;8.279891371703439e-12;8.889749678336286e-12;5.554598855227357e-17;1.2415080901780355e-12;1.7693826885296675e-08;8.940023597602874e-09;5.935376402364381e-09;4.773488168185563e-12;2.9870427082054056e-12;2.4188144670519147e-08;6.0248857954362e-11;2.0415909937746715e-10;0.0015595551833471784;0.0014282259640460088;1.0207002675065651e-10;5.702951480651964e-08;0.002987781148634695
