;location;database;code;name;reference product;unit;Hazardous (kg);natural resources;Gallium;Coke;Fluorspar;Rare earth;Indium;Copper;Europium;Tantalum;Vanadium;Latex;Scandium;Phosphate rock;Carbondioxide (kg);Titanium;Palladium;Nickel;Tin;Gold;Recycling (kg);Hydrogen;Electricity;Total (kg);Borates;Antimony;Cement;Strontium;Zirconium;Erbium;Uranium;Landfill (m3);Lithium;Petroleum;Tungsten;Platinum;Dysprosium;Incineration (m3);Hazardous (m3);Gadolinium;Selenium;Radioactive (m3);Natural gas;Incineration (kg);Graphite;Bauxite;Composting (kg);Cerium;Coal(black);Lead;Zinc;Digestion (m3);Silver;Openburning (kg);Cadmium;human health;Helium;Rhodium;Landfill (kg);Holmium;Beryllium;Tellurium;Aluminium;Coal(brown);Cobalt;ecosystem quality;Digestion (kg);Vegetable oil;Total (m3);Sand;Silicon;Magnesium;Water;Chromium;parameters full;emptied;log parameters
232ec32a22884075e0bdb3821c15aa6e;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;232ec32a22884075e0bdb3821c15aa6e;market for cathode, for aluminium electrolysis;cathode, for aluminium electrolysis;kilogram;0.003689459930705031;0.2872414077120464;7.730589241152713e-10;15.508636820043495;0.0001214888059218197;2.5816988910153508e-05;1.091220505176955e-05;0.0014322744749676606;0.0;1.5008222186505148e-06;0.0;1.5392417099589968e-05;0.0;0.0033355079341184815;0.38887087098856765;7.156478034272072e-05;1.3670311820250885e-09;-0.03341760967346687;0.0012119275208427238;1.4976390142725435e-08;0.02127478213148066;0.0004355021687671454;0.099860574677584;6.067819435671095;2.7210184581891006e-06;-3.887959528119292e-09;1.0651027176891767;1.6993869299496147e-07;2.5248761229683007e-07;0.0;4.929352307587726e-06;4.244250952095937e-11;3.671213076478259e-05;0.29190494301474307;0.0;6.176696434869343e-05;0.0;3.8198260940523517e-10;2.8881304221635564e-08;0.0;2.898128861630129e-13;2.8881304221635564e-08;0.24890746095728677;0.006097126889958466;8.951877352510254e-06;0.051729290678015585;8.928783106209607e-05;3.5818648258401027e-12;0.7906067335022358;0.00010759475121005784;0.0004655914765585784;0.0;9.929253165016042e-07;0.0010240470967102452;2.2907589429765585e-08;8.596656695861425e-06;6.75873730485889e-08;1.538120680944858e-13;2.9542581490790285;0.0;0.0;1.5899742986504258e-08;0.03327599666293738;0.005694809235623322;2.2380804263086433e-06;1.0919654478776337e-08;6.031155948939245e-05;5.3731446600040955e-06;0.007195905996550468;0.044258615870126264;0.00012012963591761466;0.0015061034057109958;2.663062415112133;2.005923292473545e-06;;;
15414a588fab4d021e0c1f1d74ba5e36;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;15414a588fab4d021e0c1f1d74ba5e36;market for packaging glass, white;packaging glass, white;kilogram;0.0013171718733124382;0.10353592598591574;3.7251016890817073e-10;0.07379454778662985;0.0021003430608582258;3.671704038924139e-05;5.2731636765033855e-06;0.001560632628639662;0.0;8.778638806677836e-07;0.0;0.0002723872382468284;0.0;0.0018204783069770527;0.03468880222920455;0.0010770634222638897;9.643579371857652e-10;-0.003352572070885196;3.94955488179074e-05;1.7739730600314384e-08;0.029136967470879238;0.00031957388472144224;0.026348557577627968;0.9529040149676656;1.3643783242872144e-06;-5.143947721070037e-09;0.011914285527753726;1.8343884341073919e-07;1.7745308766411228e-07;0.0;2.499294699744613e-06;2.1395047330923235e-11;2.6730719522763124e-05;0.1083277712878379;0.0;4.311578239077264e-05;0.0;1.9255543793372375e-10;1.456224747498541e-08;0.0;6.315405355029302e-06;1.456224747498541e-08;0.17485034288913748;0.027024179825799452;2.891043195008753e-06;0.003511052109931535;5.3772286518367056e-05;2.6128284298713694e-12;0.02358146761339166;8.921969335018104e-05;0.0006012783983150382;0.0;6.508022012811965e-07;0.005301240266953569;1.2022397395130892e-08;2.3557943307734897e-06;1.1800835173700252e-07;6.062725386661904e-14;0.3011584142223613;0.0;0.0;8.349735087040835e-09;0.004214645809371991;0.001613475368199065;1.449268520977007e-06;5.0290792085136914e-09;3.4833550260541854e-05;1.4354932558716523e-05;0.005950210012759742;0.2812689251803698;4.65069180737403e-05;5.694883670731976e-05;0.5800752193913522;2.854493014921811e-06;;;
097f1444a1b7a75db442c4a53a2f305c;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;097f1444a1b7a75db442c4a53a2f305c;market for manganese(III) oxide;manganese(III) oxide;kilogram;0.0016082809548278463;0.08869860359586729;2.2963803198931986e-09;0.1309886390205476;0.00011836010792164048;3.208028602307769e-06;3.2291051672260024e-05;0.003963386857582021;0.0;5.16920234752543e-06;0.0;1.2081954281791416e-06;0.0;0.00034601468509981673;0.09583600737966473;7.29960721983123e-05;5.196246829182936e-09;-0.015062688872809269;8.815047108583884e-05;7.854859953454841e-08;0.04289751074777274;0.0003936226135457307;0.07803911864894905;1.9806775006290511;4.679821084868782e-06;-5.195420243156442e-09;0.022824752295082587;1.837956632101074e-07;2.304678403254509e-07;0.0;1.3967478896193104e-05;1.1839680148705652e-10;3.375500597771861e-05;0.047629463457972934;0.0;6.747675202855923e-05;0.0;1.0655712795428785e-09;8.022554756718858e-08;0.0;2.440037801346956e-14;8.022554756718858e-08;0.1517113357484619;0.005236068625093162;8.129401183248233e-06;0.006937303283292384;6.278510291822322e-06;3.29893708244035e-12;0.0473568501180433;9.122192184052503e-05;0.0006035345916042436;0.0;1.6195346851657616e-06;0.0004256627881657477;8.31051305280419e-08;2.3242588217326754e-06;4.7240635183367686e-07;1.1452168986626612e-14;0.8329240374427059;0.0;0.0;5.7753380646167504e-08;0.0067488918512734605;0.005813299256492343;1.723671804280737e-06;5.135361546989329e-09;4.20971321835423e-06;3.881121728237794e-06;0.001299489030852881;0.04496298906672673;0.0002505779712839776;0.00013901237590367816;1.4580788132500215;1.438552086434347e-06;;;
de9fc23e0086760d29ef234de23e8f44;RoW;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;de9fc23e0086760d29ef234de23e8f44;market for peat;peat;kilogram;2.5529041571185224e-05;0.0006238459693457189;1.944979957446418e-11;0.002584726653532196;6.457139398565824e-07;3.508140218084195e-08;2.7321599879006537e-07;3.0284496236858673e-05;0.0;3.917760090355456e-08;0.0;4.860787252005455e-09;0.0;2.5619970912100357e-06;0.0012483018908019433;4.3136735684478674e-07;3.2829478651086695e-11;-7.65966040060829e-05;1.49663382550435e-06;2.3757748670842915e-10;0.00017008604638826875;1.4946646486917813e-06;0.0018343030505938215;0.004512342999195061;2.0919089807312077e-08;-1.7663717720015303e-11;0.00017972503875726426;6.46395581585895e-10;8.249389547180962e-10;0.0;1.3115435796863817e-07;1.117955745866034e-12;1.154040109545389e-07;0.0008257889246892803;0.0;4.044478500642663e-07;0.0;1.0061602337500772e-11;7.525571346732479e-10;0.0;1.963447446126926e-16;7.525571346732479e-10;0.0004346318091102542;4.339044618221599e-05;6.372624901489279e-08;3.243397965686745e-05;3.1633748647253374e-08;1.1239919637509847e-14;0.0005826959026792569;4.3856659634233787e-07;1.986173748030674e-06;0.0;1.0152315192109623e-08;6.51559905220987e-06;7.949509431890484e-10;2.7817279895114577e-08;4.002464564488902e-10;1.4581896827153686e-16;0.0017473011301699145;0.0;0.0;5.527989815462341e-10;3.4236347182763436e-05;9.25337913221369e-05;7.28413823214378e-09;6.451568709812148e-11;2.111411091008758e-08;5.7555570763840115e-08;1.545107350779112e-05;0.0003421784680966305;2.12359851909672e-06;1.7353175863617565e-06;0.011947166768959867;1.2270756709554975e-08;;;
0e9aae51b130ea7c6722ad337019dd3d;RoW;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;0e9aae51b130ea7c6722ad337019dd3d;market for sawlog and veneer log, azobe, measured as solid wood under bark;sawlog and veneer log, azobe, measured as solid wood under bark;cubic meter;0.4345764034397997;7.389501210235492;4.450911889788581e-09;6.767454671791719;0.003037316256499481;0.00012881934502561793;6.276887582283755e-05;0.009770528433383864;0.0;8.709872066415209e-06;0.0;3.981527699605792e-06;0.0;0.05989663345043302;8.237883431319794;0.0014254543656428242;9.203821262564036e-09;-0.17350827786508766;0.003820517716716635;1.5202022423403721e-07;0.14099676702594066;0.002919671097473299;0.22080894136756446;5.833055627745361;3.4432911039845416e-05;-2.594832786468691e-08;0.23161864491754514;9.517766814318021e-07;1.0109810614422852e-06;0.0;2.7482025398289058e-05;2.474476667247963e-10;0.0001775799155000336;13.757349500026736;0.0;0.0015438279241778107;0.0;2.2270291387953287e-09;1.6743400721208968e-07;0.0;7.652320117253839e-13;1.6743400721208968e-07;1.2401243327995988;0.4325225254387777;2.5317546276254902e-05;0.020477460025061883;0.002144108210608883;1.7153494418111376e-11;0.9535896110063298;0.0007341694745950935;0.008959572859144923;0.0;4.559580103654255e-06;0.0024185430717366136;1.403276163231695e-07;0.005809577237455889;9.882037016695341e-07;2.8374781671010547e-12;1.8321966562223722;0.0;0.0;9.742441468707582e-08;0.02079258269404531;0.039410319446036866;2.6884497725015864e-05;5.372674204252493e-05;0.0014488026584886047;0.05425649616766756;0.0525410280836361;0.41990461254454414;0.0006656668063753893;0.003786820358356361;21.96780604322075;9.234990918534715e-06;;;
90aa1cf7ab6b25320d33a20c3150da18;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;90aa1cf7ab6b25320d33a20c3150da18;market for platinum;platinum;kilogram;69.21595767571941;5228.713069641919;8.108519023703983e-05;4674.683219478155;36.21722903542469;0.6495003448963159;1.1385918322194606;61.56855664355593;0.0;0.09717215267162609;0.0;1.325148564836164;0.0;343.61016868421643;1774.3922927941178;17.036051433604225;9.072754138102908e-05;-3270.712825860618;1.7364079993247854;0.0010960045260557676;935.9187968508667;5.686844830932234;4103.956338360179;28048.083249726908;0.11750789523507985;-0.0001614717014793159;342.30331795485074;0.005593287666087459;0.0018597074385002922;0.0;0.0908106875221689;7.707179125584885e-07;0.22090547716114903;3880.2805616713035;0.0;5371.040002877811;0.0;6.936461643698599e-06;0.0005181426723892206;0.0;1.0810212068221471e-09;0.0005181426723892206;2729.902704257689;129.99610186678302;0.33072877392792077;722.9910851152769;6.439907655137858;2.127794970171797e-08;3130.431516930934;1.6729210763125415;28.0429386109652;0.0;0.022432401712898654;11.836973248404364;0.0008996085695954382;0.9314736604349376;0.005314281835804495;7.84549256287999e-10;7261.905989537975;0.0;0.0;0.0006181378378566898;678.8073958510449;150.24414875179463;0.016761303582884666;0.0009131885806764131;4.349871858696272;0.08876893947000297;96.78640804372262;685.2902926247606;6.279128492613104;2.477374541883034;414313.0163812963;0.02971041538358657;;;
8c3f424f308fea51a15db8431bbd4d3a;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;8c3f424f308fea51a15db8431bbd4d3a;market for carbon disulfide;carbon disulfide;kilogram;0.015645828461392265;0.25625884046780145;1.0007395391740134e-09;0.13486055799322066;0.0001862387726971085;0.00013515469973130468;1.4074086126314638e-05;0.0029272131524838156;0.0;2.2961095953771835e-06;0.0;4.2409397828945256e-07;0.0;0.00029965834032825425;0.0472570785371962;9.550355534481818e-05;2.7770816555556397e-09;-0.009389580029580832;7.768502183793359e-05;6.04210845334397e-08;0.02923535217072395;0.00019220627986156241;0.03727894537632776;0.6253815286885834;4.692616250314625e-06;-7.90356988782422e-09;0.017708079558966874;2.6819054361777875e-07;1.0930356662060022e-07;0.0;5.492915973612199e-06;4.803151916475913e-11;1.5903835780315114e-05;0.1332576817115868;0.0;4.0393315374799644e-05;0.0;4.322836993225356e-10;3.274253077303882e-08;0.0;3.6785372835881755e-14;3.274253077303882e-08;0.9447877628016805;0.017862250112063518;3.835172507864859e-06;0.004130549625313781;4.4433077583016495e-06;1.5543302047446672e-12;0.11917220239569039;6.358499334729737e-05;0.0007167577954243019;0.0;7.445037838826415e-07;0.0003360122087790446;3.1644452762198e-08;1.3443910575210682e-05;4.4168386740338924e-07;3.949200666883597e-14;0.18575819788284972;0.0;0.0;2.1969520405329852e-08;0.003991085242755075;0.00981791207272416;9.294374337962792e-07;1.9972196882504975e-08;2.9874160873784645e-06;1.6191440361212733e-05;0.002463780421793552;0.06711318152419567;0.00010869540738460794;9.943994745085458e-05;1.8516584575749606;7.369117570381391e-07;;;
574c4a367f0fd183345b478a529e20e6;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;574c4a367f0fd183345b478a529e20e6;market for para-phenylene diamine;para-phenylene diamine;kilogram;0.058110610253834336;1.046795609689737;3.607509257994449e-09;1.2859496137162028;0.0006043006671481537;1.5611681700371225e-05;5.085470836719255e-05;0.023730751806675297;0.0;1.1264217033642696e-05;0.0;2.7482933178599216e-06;0.0;0.0017614154754553486;0.2655618502831028;0.0003102456799046161;1.6360602792379475e-08;-0.06620259119790317;0.025755394584588268;4.4598266683100577e-07;0.20623607926587284;0.0024243346390885193;0.28400185005766265;6.227509134394808;1.9018586239700085e-05;-3.129471898819517e-08;0.43461095048408493;1.132946335612895e-06;8.599171597473004e-07;0.0;2.3515370415204058e-05;2.0160407564309468e-10;0.00013383979156736302;0.3348485674995626;0.0;0.0002524954472455254;0.0;1.8144367934429108e-09;1.421366448071531e-07;0.0;2.802963860095852e-13;1.421366448071531e-07;0.89469353049184;0.08159581694072049;1.938033649692727e-05;0.0307101188406326;2.6546994451545057e-05;1.2710832212095786e-11;0.87467076590085;0.00039027413568768;0.003731946201714005;0.0;4.396272002768927e-06;0.002953923753435302;1.1333313518029594e-07;1.661935749155836e-05;3.4709174190307726e-06;1.8069581964420144e-13;2.133406047316551;0.0;0.0;7.869468782399257e-08;0.028465532591828914;0.016026510187114755;6.774090432027446e-06;3.21161965088527e-08;1.786558370043728e-05;2.0759773592895887e-05;0.018012403952853535;0.2104912118149767;0.00045499181821928136;0.0005889684151297714;11.595634396745893;3.6561967454296526e-06;;;
aeb04e517b8ac5aea43056699552b58c;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;aeb04e517b8ac5aea43056699552b58c;market for orbencarb;orbencarb;kilogram;0.0133829740170202;1.0586954302920617;6.814982472712567e-09;1.456532621977231;0.0009833029918731111;6.941337838507091e-05;9.580646536501162e-05;0.0262174452783574;0.0;1.7193351567205665e-05;0.0;2.9355885600051473e-06;0.0;0.0015526092517458116;0.30194734131800915;0.00047716826237446973;2.2372501414782284e-08;-0.07378291186966181;0.0003943016629963081;5.216177590888497e-07;0.21033867812805626;0.001204533742844035;0.33593711175349206;4.222767355752011;2.051119256217524e-05;-3.461827872345867e-08;0.11874437639569946;1.2427689488741448e-06;5.593902540424233e-07;0.0;4.574463501488532e-05;3.891230614963692e-10;9.09053747746471e-05;0.3371722545882443;0.0;0.00022242284088140382;0.0;3.502107770906782e-09;2.715835629211732e-07;0.0;4.953399266767982e-13;2.715835629211732e-07;1.1406276498334318;0.03649110924827145;2.8392333769116514e-05;0.03352426310570458;3.859783456867061e-05;8.37311437537779e-12;0.7007106063653564;0.00036196511799573797;0.00399369417659;0.0;4.862280697246105e-06;0.0025544268677063064;2.240808295592563e-07;1.610557141000818e-05;3.872805675770113e-06;1.8125066893830806e-13;1.1780722260124432;0.0;0.0;1.5564646051903761e-07;0.03202731144050042;0.025574998407882486;4.538824020082461e-06;3.178649812374748e-08;2.596933800570378e-05;2.6985374202337875e-05;0.02156105246442446;0.21158147789485598;0.0007884955878010103;0.0006167203182829725;6.449576844868506;6.004612452933177e-06;;;
2e8a37bef97d3c0329d871698831d467;GLO;ei_cutoff_3.9_remind_SSP5-PkBudg500_2030 2025-09-04;2e8a37bef97d3c0329d871698831d467;market for phosphorus, white, liquid;phosphorus, white, liquid;kilogram;0.010274341728752873;0.5986128243484288;1.533020983443571e-08;0.7774306580481729;0.0005803607314177363;1.9224496414889644e-05;0.00021567002875541463;0.013229929090400772;0.0;2.863201067297245e-05;0.0;6.720582507849021e-06;0.0;26.295481558001033;0.6746865511821547;0.00031207401705503313;2.515913036707573e-08;-0.03943425067127268;0.00047078954904027765;2.3709313665370806e-07;0.16501267090465416;0.0026684952450055765;0.42086768949018544;5.2354956164427175;3.3047868703791204e-05;-2.6556443315060203e-08;0.08330183382636971;9.372815681849617e-07;1.6545979895337068e-06;0.0;0.00010454393932734618;8.873726377879776e-10;0.0002889862896882058;0.4170819562839608;0.0;0.0004851720163724251;0.0;7.986354235949911e-09;6.034478231454214e-07;0.0;1.4871453439685245e-13;6.034478231454214e-07;0.4537464013324628;0.025488235906673602;4.9206157795832806e-05;0.02924463016251822;2.7556686722759277e-05;2.801025802917664e-11;2.027835347823718;0.000994675531837336;0.0030860156898000397;0.0;1.0478546329695915e-05;0.0012858923646210134;4.684187970765407e-07;1.3170834987467765e-05;8.529501649295965e-07;7.419787666272624e-14;2.10241078807349;0.0;0.0;3.2523077767955433e-07;0.03043293704749358;0.03275174685665638;1.4710748354296968e-05;2.9298952289894804e-08;1.841491809685176e-05;3.1429922560740096e-05;0.008528295683513773;0.18968504119749224;0.0016172358121418818;0.0006957848978459706;11.115100734317807;9.30564033804159e-06;;;
