code;name;reference product;unit;location;prod_category;prod_sub_category;ecosystem quality;human health;natural resources;Total waste (kg);Hazardous waste (kg);Year;Database
2d61fad5617b6a30bdf52dfaeb219a43;market for hydraulic fracturing fluid;hydraulic fracturing fluid;kg;GLO;Chemical;Chemical products;1.0801331012424937e-07;4.604000643568512e-05;2.308862060459883;40.914649116444046;0.04054348649726631;2020;SSP1-PkBudg500
428c569a472d36034de8770c3fc98358;market for white lined chipboard carton;white lined chipboard carton;kg;RoW;ProcBio;Pulp & paper;6.5806775545808e-06;0.002759205488018924;125.94471561337082;2256.057799509033;1.6057928148140788;2020;SSP1-PkBudg500
d96eca0d773b6b762e86cdf671ef762c;market for iron-nickel-chromium alloy;iron-nickel-chromium alloy;kg;GLO;MetalAlloy;Basic metals & alloys, their semi-finished products;0.00014866960019986855;0.1361339691116;980.7234028989184;290541.3088934238;17.743638773800637;2020;SSP1-PkBudg500
2f630420c9f3bcd25d7b8b32bc2c8b42;market for chlorodifluoromethane;chlorodifluoromethane;kg;RoW;Chemical;Chemical products;0.0002169758156135725;0.08157994007247202;3449.818034598325;16582.36358293666;15.83253746747695;2020;SSP1-PkBudg500
346503ada1b3a9692c801742198d53a8;market for flux, for wave soldering;flux, for wave soldering;kg;GLO;Chemical;Chemical products;1.1770624027443804e-05;0.005727172103914764;569.3977815174509;2861.845819726749;30.042092460331414;2020;SSP1-PkBudg500
2f890c11604dc1b16ea8cd5e455bf8c8;market for battery, NaCl;battery, NaCl;kg;GLO;MachElecTrans;Metal/electronic equipments & parts;0.00011212758489262737;0.09394193297559791;877.5683485284675;219432.72305677168;121.17953622681394;2020;SSP1-PkBudg500
6f9e8e79e0025011427a5d3b01e0c80a;market for krypton, gaseous;krypton, gaseous;kg;GLO;Chemical;Chemical products;0.0005453864115727133;0.2477052841381;4908.117518060336;67194.06094297071;50.25783281783756;2020;SSP1-PkBudg500
f8229498ca1b36c8079d2364e35667cb;market for nitrate salts, for solar power application;nitrate salts, for solar power application;kg;GLO;Chemical;Chemical products;3.6862733002354e-06;0.0012805579476450276;77.7196638296724;10831.577295117186;153.89088221480358;2020;SSP1-PkBudg500
236ac1cd370007b9673c903d8ffbaded;market for ferrosilicon;ferrosilicon;kg;GLO;MetalAlloy;Basic metals & alloys, their semi-finished products;3.396665993813525e-05;0.03740297561240923;373.72579057553367;11619.201729750248;4.075920860567163;2020;SSP1-PkBudg500
598226fa34cbfbadfddff71d16244801;market for dimethenamide;dimethenamide;kg;GLO;Chemical;Chemical products;0.0001280712663884028;0.08689689224627566;1800.0002094225254;47045.78140059964;23.410707217744676;2020;SSP1-PkBudg500
606717c7e4c3ec112c0b03cbce1a5610;market for fibre, kenaf;fibre, kenaf;kg;GLO;AgriForeAnim;Agricultural & forestry products;3.652705815343144e-05;0.005393650160539826;56.5392313704002;17800.648127689827;1.346956447159075;2020;SSP1-PkBudg500
b9e23828f3d0c74c551c7edc66e71379;market for potato, organic;potato, organic;kg;GLO;AgriForeAnim;Agricultural & forestry products;6.412838377368672e-06;0.0008643505665547581;22.2954946880477;651.9861672776539;0.6875521619025315;2020;SSP1-PkBudg500
cf81717206b5a737b7a8a0a93a1b87e8;market for sodium chloride, brine solution;sodium chloride, brine solution;kg;GLO;OreMinFuel;Ores, minerals & fuels;6.982331130766807e-07;0.0004842122252272468;7.2255456794605;484.3615928808401;0.16697418692449537;2020;SSP1-PkBudg500
1ce941ebffd0f8a255bfdf419e79d230;market for aluminium removed by milling, large parts;aluminium removed by milling, large parts;kg;GLO;AgriForeAnim;Agricultural & forestry products;5.0037017415961084e-05;0.03208843764110102;550.0560979332769;187053.47814397726;450.5278513198285;2020;SSP1-PkBudg500
2a50dedb7279fa6099f6e8db81749868;market for grass seed, Swiss integrated production, at farm;grass seed, Swiss integrated production, at farm;kg;GLO;AgriForeAnim;Agricultural & forestry products;5.5876065335769765e-05;0.004266907043902996;135.462721920097;2314.139488953976;2.651593115298453;2020;SSP1-PkBudg500
c27991023e8548170fcb6a28224e31a6;market for boric oxide;boric oxide;kg;GLO;Chemical;Chemical products;2.0662921514668812e-05;0.012843556036394947;319.8611204952691;17959.3338039715;6.783059439531;2020;SSP1-PkBudg500
5994c6fa51edf6fb6bb405614dee10fa;market for paclobutrazol;paclobutrazol;kg;GLO;Chemical;Chemical products;7.21992321820694e-05;0.036676251111134664;1565.9336826096571;42760.160696086285;18.091971323090437;2020;SSP1-PkBudg500
