code;name;reference product;unit;location;prod_category;prod_sub_category;ecosystem quality;human health;natural resources;Total waste (kg);Hazardous waste (kg);Year;Database
d6f7338dead4a8e401ce196c235b1f13;market for strontium carbonate;strontium carbonate;kg;GLO;Chemical;Chemical products;1.9326551723204778e-08;6.383680423783021e-06;0.1478659267864068;663.8364765858058;0.0019420759425648965;2020;SSP1-PkBudg500
ac2706c6e4646657d24f5b7b841bdde2;market for cleft timber, measured as dry mass;cleft timber, measured as dry mass;kg;RoW;AgriForeAnim;Agricultural & forestry products;5.368801701024469e-09;1.514847175638941e-07;0.0051057313830873;0.21112125328103964;0.00042503025980288343;2020;SSP1-PkBudg500
cdb19fb363bed3662eac4a0867232056;market for hydrazine;hydrazine;kg;RoW;Chemical;Chemical products;7.40499585010771e-08;3.059046236727628e-05;1.0126823524031932;73.56246914838981;0.0104568409961338;2020;SSP1-PkBudg500
3e94674bc41b5e4877d067971c70ab68;market for propylene;propylene;kg;RoW;OreMinFuel;Ores, minerals & fuels;5.4263097739858956e-09;2.204726252240977e-06;0.610383694714341;0.04046926467220162;0.008384418694160711;2020;SSP1-PkBudg500
9d318a9ed434e9ecc8a8e59eea1789e4;market for zinc oxide;zinc oxide;kg;GLO;Chemical;Chemical products;3.996404487831839e-09;2.3748487024071115e-06;0.0790576356809326;1.1265748606278905;0.0009364388959414951;2020;SSP1-PkBudg500
bc63d2f023b5adf9263d190c2b3b4a6b;market for polystyrene, general purpose;polystyrene, general purpose;kg;GLO;PlastRub;Plastics & rubber products;1.4136243006353648e-08;6.083458942092968e-06;0.7546516980935117;0.656796202395533;0.028253995758650324;2020;SSP1-PkBudg500
0fbe7002b1f0788bebb79406b496031e;market for sugar, from sugarcane;sugar, from sugarcane;kg;GLO;ProcBio;Food & beverages, animal feed;2.4049814482829824e-08;5.6028680387222375e-06;0.0443328219724284;1.3209810613279247;0.001343027508568271;2020;SSP1-PkBudg500
a4e7a4dfb3c936e112491275acb5d2a5;market for aluminium chloride;aluminium chloride;kg;GLO;Chemical;Chemical products;1.978978698263568e-08;1.2448244754753432e-05;0.2540383545054571;8.772244332438927;0.0026621724933161475;2020;SSP1-PkBudg500
c15d7becd2020002d3237cad9dca28f5;market for methylene diphenyl diisocyanate;methylene diphenyl diisocyanate;kg;RoW;PlastRub;Plastics & rubber products;2.74626087669341e-08;1.533709004202272e-05;0.7641013677931143;9.76714255899266;0.010113811726015495;2020;SSP1-PkBudg500
840b860a0fb54e43a4d5f0ea9ff7b738;market for methyl tert-butyl ether;methyl tert-butyl ether;kg;GLO;Chemical;Chemical products;4.673867074207333e-09;2.1232237229697965e-06;0.514556523814095;0.9339199441200015;0.006228409177802899;2020;SSP1-PkBudg500
c44447ec9b7a72217943165e42a6e56d;market for terbium oxide;terbium oxide;kg;GLO;Chemical;Chemical products;2.4866031822318457e-08;1.0380105345332616e-05;0.6662350746848101;183.1400153303395;0.20938936343423492;2020;SSP1-PkBudg500
840cabe4dd084284a9862a86272872e5;market for oxygen, liquid;oxygen, liquid;kg;World;Chemical;Chemical products;3.894432899981111e-09;1.8153641336007389e-06;0.0326053644892757;0.4531086969814441;0.00030415896556652047;2020;SSP1-PkBudg500
15a38b3adac146618a6754113c447d5f;market for cement, Portland;cement, Portland;kg;World;GlasNonMetal;Glass & other non-metallic products;3.423641723754877e-09;1.4051743403872355e-06;0.0279544629325437;0.3842235931494391;0.00040235813941082686;2020;SSP1-PkBudg500
7122956c7ead2ed4afa9e9321cb27116;market for maleic hydrazide;maleic hydrazide;kg;GLO;Chemical;Chemical products;3.5306880960458475e-08;1.525031720914592e-05;0.9174826005792744;24.4690727861416;0.010463178997887429;2020;SSP1-PkBudg500
3f7c004a194983c1e7d4dfcc9ac7971f;market for terbium-dysprosium oxide;terbium-dysprosium oxide;kg;GLO;Chemical;Chemical products;1.0253037733106471e-08;8.980114766088596e-06;106.50626432620604;34.164092287633565;0.2667593301867373;2020;SSP1-PkBudg500
3a6586952eff793738eef72743703e90;market for fatty acid methyl ester;fatty acid methyl ester;kg;RoW;Chemical;Chemical products;5.583101738572842e-08;6.556595700618465e-06;0.0994522489481957;1.7839831359384364;0.0017999256118039766;2020;SSP1-PkBudg500
47b9b9e5f4259513798eea1b4b183ac4;market for NPK (15-15-15) fertiliser;NPK (15-15-15) fertiliser;kg;RoW;Chemical;Chemical products;6.397569052217455e-09;2.9267511387126318e-06;0.1039884486417731;1.5728932839455916;0.0015266446609536193;2020;SSP1-PkBudg500
daf842dc2084cada055e644571589f5c;market for sodium perchlorate;sodium perchlorate;kg;GLO;Chemical;Chemical products;2.7861429375235998e-08;1.680121890293375e-05;0.2736946156955444;11.44892486216317;0.0030375006078446226;2020;SSP1-PkBudg500
4bb93ae2739a569b08365ff28bfce4bf;market for soybean seed, for sowing;soybean seed, for sowing;kg;GLO;AgriForeAnim;Agricultural & forestry products;3.1634423507577224e-08;4.816796265232919e-06;0.0277909936687558;0.8044840950787445;0.0006313765532857244;2020;SSP1-PkBudg500
c9c7e7bd7b41e32a1b32265ed2dda37d;market for sheet rolling, copper;sheet rolling, copper;kg;GLO;MetalAlloy;Basic metals & alloys, their semi-finished products;9.887217054162552e-09;9.28866881337329e-06;0.0471266836587267;2.4830343932230035;0.06589105802371127;2020;SSP1-PkBudg500
0fa637cb6b5939d391ff8cc38cc6362e;market for polystyrene scrap, post-consumer;polystyrene scrap, post-consumer;kg;GLO;AgriForeAnim;Agricultural & forestry products;4.4223550603852205e-10;2.1064141074892813e-07;0.0104656215670684;0.3569221842237608;0.0002531521571318953;2020;SSP1-PkBudg500
4b996bcd1f356b41865616e8439b2333;market for carrot seed, Swiss integrated production, at farm;carrot seed, Swiss integrated production, at farm;kg;GLO;AgriForeAnim;Agricultural & forestry products;5.5741199722141417e-08;4.239671223312935e-06;0.1484840608693977;2.668007813397068;0.002942912566838999;2020;SSP1-PkBudg500
17f3dca162e131f8e5e48c4dbbab59d8;market for ethoxylated alcohol (AE3);ethoxylated alcohol (AE3);kg;RoW;Chemical;Chemical products;1.3582923820902337e-08;5.798704444350525e-06;0.6054742729928353;2.758245746659605;0.007020831204222392;2020;SSP1-PkBudg500
e4205fc1874ce8470676c4aaf610e6d4;market for adhesive, for metal;adhesive, for metal;kg;RoW;Chemical;Chemical products;1.5072859059493093e-08;7.2821442557061665e-06;0.5246986458488663;9.078349407400388;0.019320534038102806;2020;SSP1-PkBudg500
bed662c65b77a2f151383ef73800c74b;market for nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;kg;GLO;OreMinFuel;Ores, minerals & fuels;1.0713397469991714e-05;0.0179952788116226;221.07551896622635;4524.298288909043;67.59447034973196;2020;SSP1-PkBudg500
dcfb0a7586afe2290f47cea10009b9d9;market for tetrafluoroethylene film, on glass;tetrafluoroethylene film, on glass;kg;GLO;PlastRub;Plastics & rubber products;4.210118589094962e-07;0.0001576238159883;4.810936906897919;31.86063052510136;0.03699277137246483;2020;SSP1-PkBudg500
5f62d9e0dd4e7ba569f608d32e97fdc6;market for wheat grain;wheat grain;kg;RoW;AgriForeAnim;Agricultural & forestry products;2.973893321608072e-08;2.383749068715698e-06;0.0395425135636871;0.6732056454050622;0.0010385824095184117;2020;SSP1-PkBudg500
6b5fbd50873691cd0c8e02114baa15a7;market for cobalt carbonate;cobalt carbonate;kg;GLO;MetalAlloy;Basic metals & alloys, their semi-finished products;1.3593463394888148e-07;0.0001089990839351;4.728383172275084;1947.760312301936;0.13625920175126405;2020;SSP1-PkBudg500
60fcde0a572fbe1adb52ae447cf3a388;market for chlorosulfonic acid;chlorosulfonic acid;kg;RoW;Chemical;Chemical products;7.0258748778067915e-09;5.45848612145287e-06;0.0622242086909393;4.182705476950193;0.0014803733239750442;2020;SSP1-PkBudg500
d971937192fae29417d670b40a21f603;market for lithium hexafluorophosphate;lithium hexafluorophosphate;kg;GLO;Chemical;Chemical products;1.2292847281644814e-07;7.22995769180631e-05;20.690623112153126;95.05053073463532;0.039892996870404554;2020;SSP1-PkBudg500
8aeca673cf07d3ada8ffee43541c3688;market for electrode, negative, LiC6;electrode, negative, LiC6;kg;GLO;MachElecTrans;Metal/electronic equipments & parts;3.5881392008985803e-08;2.0221363772137147e-05;2.985878155536716;55.348737549006415;0.013315316218107212;2020;SSP1-PkBudg500
315a6026a60617877a2bb7948e34a831;market for uranium, enriched 3.0%, in fuel element for light water reactor;uranium, enriched 3.0%, in fuel element for light water reactor;kg;GLO;OreMinFuel;Ores, minerals & fuels;8.629193779951219e-06;0.0144853073092986;176.2861567931103;3667.7129181096725;52.555039643403944;2020;SSP1-PkBudg500
71736cf432aeb43d52148caed58fa023;market for liquid crystal display, minor components, auxilliaries and assembly effort;liquid crystal display, minor components, auxilliaries and assembly effort;kg;GLO;MachElecTrans;Metal/electronic equipments & parts;1.6592348520660177e-07;9.448284412430991e-05;1.9823864614413624;1139.279585214802;1.2389013439537744;2020;SSP1-PkBudg500
61fda742605a60b0cc430ad764085e71;market for 2,4-dichlorotoluene;2,4-dichlorotoluene;kg;GLO;Chemical;Chemical products;1.1641702398808136e-08;5.607222120525197e-06;0.4682861621847581;12.964954485327176;0.005641294270625241;2020;SSP1-PkBudg500
394fee340efc79ca725bbf0364fabe2d;market for peanut;peanut;kg;GLO;AgriForeAnim;Agricultural & forestry products;5.4614961751191375e-08;3.978091068823134e-06;0.0518780196908037;0.845055033613402;0.001250575533403734;2020;SSP1-PkBudg500
28e8902c28c9c699e5c871a3f829e68e;market for dimethyl ether;dimethyl ether;kg;RoW;Chemical;Chemical products;6.110770822273901e-09;2.7500874585205413e-06;0.421892850881241;1.7551904338228113;0.0032385230845518157;2020;SSP1-PkBudg500
b8160daeadf769967ad054f6e6b448e3;market for Distiller's Dried Grains with Solubles;Distiller's Dried Grains with Solubles;kg;GLO;ProcBio;Food & beverages, animal feed;3.717951646611557e-10;1.1277693289552673e-07;0.0030318164441048;0.153098546809012;5.5955371039193614e-05;2020;SSP1-PkBudg500
37b5e0e6258403a9cf1878d298a4ef87;market for charcoal;charcoal;kg;GLO;Chemical;Chemical products;2.5631895080527218e-08;4.829229347321807e-06;0.01989249192403;0.6474326684196925;0.0011611875810235107;2020;SSP1-PkBudg500
6d8d12dd7928b36d98f7cc406f440e21;market for thermo-mechanical pulp;thermo-mechanical pulp;kg;GLO;ProcBio;Pulp & paper;9.054729095289046e-09;3.1757530934608094e-06;0.0639376820741405;3.477039358932506;0.0008013217856988773;2020;SSP1-PkBudg500
c52fd3aad9cb8921c70e21a0206414f6;market for carbon fibre reinforced plastic, injection moulded;carbon fibre reinforced plastic, injection moulded;kg;GLO;MachElecTrans;Transport vehicles;3.6667875907483393e-07;0.0001798844730719;4.515252208595276;35.650712907366795;2.2320162465502915;2020;SSP1-PkBudg500
1f4debd8c2b5365631a4f1b5ef851db1;market for copper oxide;copper oxide;kg;GLO;Chemical;Chemical products;1.817704753208954e-07;0.0001802213611888;0.672585452820018;41.86557840318453;0.009753412449911021;2020;SSP1-PkBudg500
153c7eafa83a83f8d01d8b3a725afd09;market for small pelagic fish, fresh;small pelagic fish, fresh;kg;GLO;AgriForeAnim;Live animal, fish & their products;1.562961241768122e-08;7.9048715828711e-06;0.2390864387358951;1.2358553723732002;0.010087877477906538;2020;SSP1-PkBudg500
d7b541bc86ff085ef8885572608fa059;market for palm kernel meal;palm kernel meal;kg;GLO;ProcBio;Food & beverages, animal feed;4.784596093779711e-09;9.795989555120918e-07;0.0037750929500086;1.9980843453123267;0.00014918850675645803;2020;SSP1-PkBudg500
9cd35727b22ad07961e63ada69aeee8d;market for octabenzone;octabenzone;kg;GLO;Chemical;Chemical products;2.1170361372856392e-08;1.0263430717577732e-05;0.7916612876907706;9.65706192449669;0.008543933223374081;2020;SSP1-PkBudg500
5b3cd1ed6a23c57209658541ffd2c82d;market for tetraethyl orthosilicate;tetraethyl orthosilicate;kg;GLO;Chemical;Chemical products;1.26246160406635e-08;6.194141118415221e-06;0.4628493523633299;39.317789257333814;0.006555295369396484;2020;SSP1-PkBudg500
d454581173e483b1c0de53327957c87e;market for maize grain, feed;maize grain, feed;kg;RoW;ProcBio;Food & beverages, animal feed;7.159344348561608e-09;1.9376097207681496e-06;0.0414255568881702;0.9690398247702294;0.0010585097017878201;2020;SSP1-PkBudg500
1b44c6e4994b5dab5fafbd998b83b8e9;market for sodium silver thiosulfate;sodium silver thiosulfate;kg;GLO;Chemical;Chemical products;1.2862673024364588e-06;0.0013481222775525;14.34253835826444;180.00056415171915;0.5038963636429022;2020;SSP1-PkBudg500
69bae82c2ec406b3e7bf14970e8b4f39;market for printing ink, offset, without solvent, in 47.5% solution state;printing ink, offset, without solvent, in 47.5% solution state;kg;RoW;Chemical;Chemical products;3.2243610409909394e-08;8.042569809151135e-06;0.4603355571656943;5.559567813894212;0.005080608478663047;2020;SSP1-PkBudg500
d3575708df6d299e63624c8d0456c52e;market for sulfur trioxide;sulfur trioxide;kg;RoW;Chemical;Chemical products;6.535175006902047e-09;5.490200526759208e-06;0.0397722979586745;2.1881815852518356;0.0013383319420508344;2020;SSP1-PkBudg500
3bb2539929f70cf3e9e6a3d134148cab;market for agricultural trailer;agricultural trailer;kg;GLO;MachElecTrans;Metal/electronic equipments & parts;2.6704034276630233e-08;1.8563952034913637e-05;0.4518603018643334;13.192589373404223;0.005129992528257528;2020;SSP1-PkBudg500
d7c279bf726f3a5b8df611c3193c5761;market for supplementary cementitious materials;supplementary cementitious materials;kg;RoW;OreMinFuel;Ores, minerals & fuels;1.0141383940763648e-10;5.819649181568973e-08;0.0029614107919606;0.15093170284378932;6.278718750608562e-05;2020;SSP1-PkBudg500
ba4b47e0d1f15aff29e8b9ab1e1bb5ba;market for sodium silicate, solid;sodium silicate, solid;kg;RoW;Chemical;Chemical products;4.332640504783539e-09;2.2319192420669197e-06;0.0441764025767032;1.2771514315831345;0.0006990168530176412;2020;SSP1-PkBudg500
77318fef8020d835fd3052d242959c7d;market for diphenylether-compound;diphenylether-compound;kg;GLO;Chemical;Chemical products;9.366846326582009e-08;4.650563732978296e-05;1.821810034325913;32.48915839404733;0.014888512738866;2020;SSP1-PkBudg500
e2c427ed3a5da7f674f03ceacca0f8eb;market for sulfamic acid;sulfamic acid;kg;GLO;Chemical;Chemical products;1.1099511158234412e-08;7.361858818373161e-06;0.1240206371484569;2.687394463168155;0.0019193657015974257;2020;SSP1-PkBudg500
d1209a1c88bfcdc9fcb8f31c487f0b3d;market for rare earth carbonate concentrate;rare earth carbonate concentrate;kg;GLO;Chemical;Chemical products;2.563355606301786e-07;9.615844602127938e-05;7.622709076145662;2250.5422559468957;0.07355241424167891;2020;SSP1-PkBudg500
de9d213ce13f4f537837dea3b4f9faf7;market for cathode, LFP, for Li-ion battery;cathode, LFP, for Li-ion battery;kg;RoW;MachElecTrans;Metal/electronic equipments & parts;8.00881208881194e-08;3.574880314609156e-05;3.2041948066686325;103.99589374903313;0.01108318661484811;2020;SSP1-PkBudg500
ce2347e862ef8b9811a7efc3e7cefa81;market for gypsum plasterboard;gypsum plasterboard;kg;GLO;GlasNonMetal;Glass & other non-metallic products;2.297651882878059e-09;9.799648003656118e-07;0.0223970866187595;0.4812219893581029;0.00033226583774174885;2020;SSP1-PkBudg500
21852c4e242046354e887a60ad34d612;market for cottonseed oil, refined;cottonseed oil, refined;kg;GLO;ProcBio;Food & beverages, animal feed;7.595095160522243e-08;1.5980919531251455e-05;0.1666418515884743;274.8735369877149;0.004629192364213342;2020;SSP1-PkBudg500
b0175530e5a50fe6ccec08a4eea4cabf;market for sodium ethyl xanthate;sodium ethyl xanthate;kg;GLO;Chemical;Chemical products;1.7736802174232816e-08;1.063971463984908e-05;0.3258315841598898;18.841419870312208;0.5307652281348443;2020;SSP1-PkBudg500
8b41c068352226a104adfee434e02f0e;market for NPK (26-15-15) fertiliser;NPK (26-15-15) fertiliser;kg;RoW;Chemical;Chemical products;1.0052363786407854e-08;4.490841718927169e-06;0.1583579514621613;3.2658696559744;0.0020481368444271847;2020;SSP1-PkBudg500
c1165e9f75e6558fb56158799839882a;market for cottonseed;cottonseed;kg;RoW;AgriForeAnim;Agricultural & forestry products;8.77868175746317e-09;1.725509119531616e-06;0.0309783736349425;0.5540390474971881;0.0008341798524023653;2020;SSP1-PkBudg500
f01964b5476417edfc6c8902498d4713;market for yarn, silk;yarn, silk;kg;GLO;ProcBio;Textile;4.885816292874662e-07;0.0001584640047521;2.072583176259044;388.0460020491465;0.06915074504850148;2020;SSP1-PkBudg500
bd574dc3b2fa406e8a4b39234fe6271d;market for petrol, low-sulfur;petrol, low-sulfur;kg;World;OreMinFuel;Ores, minerals & fuels;9.672217946577512e-09;2.6739382013603718e-06;0.5164770349633346;1.2595717428397273;0.005843958325828054;2020;SSP1-PkBudg500
c51186a2547c55ba1ce703c75cd4dc61;market for amine oxide;amine oxide;kg;GLO;Chemical;Chemical products;6.01461965890654e-08;1.243988768776619e-05;0.4474261898349121;6.486273301718623;0.007204034398987773;2020;SSP1-PkBudg500
56bf8867fba9e9a2cf048ee29ecb4656;market for phacelia silage;phacelia silage;kg;GLO;AgriForeAnim;Agricultural & forestry products;1.9834895189914145e-08;5.057829394134632e-06;0.0339377274160638;0.8083140827996308;0.001463013956119627;2020;SSP1-PkBudg500
ab76df4845d8b838daf0933e3bca8885;market for trichloroacetic acid;trichloroacetic acid;kg;RoW;Chemical;Chemical products;1.5471563451080664e-08;7.73670027744486e-06;0.3389332268064505;19.88460651590615;0.0035347299863053567;2020;SSP1-PkBudg500
f7fbbbd4027750c8b3d88c1bf551daef;market for barley seed, organic, for sowing;barley seed, organic, for sowing;kg;GLO;AgriForeAnim;Agricultural & forestry products;2.1168702127583213e-08;2.770807675348012e-06;0.0231948040726115;0.4938202666512288;0.0007731656082491154;2020;SSP1-PkBudg500
7ed77d4d0f84d19017e576d8237514af;market for radish;radish;kg;GLO;AgriForeAnim;Agricultural & forestry products;3.6015101394410494e-08;1.6866085644479353e-05;0.242363492236546;2.2305578693387256;0.0025713851244515726;2020;SSP1-PkBudg500
bc62c5330286e6df8bfbcf7d03502b2c;market for NMC811 oxide;NMC811 oxide;kg;RoW;Chemical;Chemical products;1.281188854784301e-07;8.532881879468145e-05;5.318111829154624;866.0099824209216;1.437446343740239;2020;SSP1-PkBudg500
0654fa2a94bae92b96257ca44dc238ed;market for poultry manure, fresh;poultry manure, fresh;kg;GLO;Chemical;Chemical products;1.774785641377523e-11;8.192919417848129e-09;0.0004247600105159;0.017320414637034487;1.0496396974236278e-05;2020;SSP1-PkBudg500
b429b7efad1f2d6f493e1fbefce87d38;market for corrugated board box;corrugated board box;kg;RoW;ProcBio;Pulp & paper;1.3673333558428511e-08;3.708329279330436e-06;0.099864609297883;2.6729236224355715;0.001437046437688051;2020;SSP1-PkBudg500
34b5bcea440e1a55ab677400ba3f4cea;market for liquefied petroleum gas;liquefied petroleum gas;kg;RoW;OreMinFuel;Ores, minerals & fuels;4.391937295765287e-09;1.9884961166332757e-06;0.59070573157662;0.5153205707993773;0.005647626731914853;2020;SSP1-PkBudg500
fd1e06abe53ed0be18e3668308e18361;market for sawlog and veneer log, softwood, measured as solid wood under bark;sawlog and veneer log, softwood, measured as solid wood under bark;m3;RoW;AgriForeAnim;Agricultural & forestry products;4.494333834280216e-06;2.773290809552565e-05;1.4890851955602544;44.47353133082518;0.1252564308662332;2020;SSP1-PkBudg500
a00da55ec426b4f1743ae9908d383ca4;market for wood chips, wet, measured as dry mass;wood chips, wet, measured as dry mass;kg;RoW;ProcBio;Wood, straw & cork;7.4276419795932454e-09;1.088053626118229e-07;0.0065700910906969;0.2020027225504847;0.0003603825492019087;2020;SSP1-PkBudg500
8f8323591fbb401627822048a6077a5e;market for sodium phenolate;sodium phenolate;kg;GLO;Chemical;Chemical products;1.561949541634108e-08;7.55559853182088e-06;0.68856664263138;6.269779284287776;0.00969349918356608;2020;SSP1-PkBudg500
f78e10c602e5167e36a9fdf57972f6ac;market for liquid manure storage and processing facility;liquid manure storage and processing facility;m3;GLO;Construction;Construction;9.487108519514038e-07;0.0006323810558772;14.993084360373064;5815.537009576781;0.29005743487177116;2020;SSP1-PkBudg500
cfe458937a2d61f41220ba3fd59e8f7a;market for carbon dioxide, liquid;carbon dioxide, liquid;kg;RoW;Chemical;Chemical products;3.554306156038348e-09;1.6020066183235354e-06;0.0417408336161208;0.679943137484862;0.00046708416283042345;2020;SSP1-PkBudg500
0a53194111cb9168310016ac76b6590f;market for apple;apple;kg;GLO;AgriForeAnim;Agricultural & forestry products;6.289708713909971e-09;1.3529984229989104e-06;0.0268111671070033;1.7800995729322528;0.0009706881414421251;2020;SSP1-PkBudg500
