code;name;reference product;unit;location;prod_category;prod_sub_category;ecosystem quality;human health;natural resources;Total waste (kg);Hazardous waste (kg);Year;Database
2d61fad5617b6a30bdf52dfaeb219a43;market for hydraulic fracturing fluid;hydraulic fracturing fluid;m3;GLO;Chemical;Chemical products;1.0801331012424937e-07;4.604000643568512e-05;2.308862060459883;40.914649116444046;0.04054348649726631;2020;SSP1-PkBudg500
d96eca0d773b6b762e86cdf671ef762c;market for iron-nickel-chromium alloy;iron-nickel-chromium alloy;kg;GLO;MetalAlloy;Basic metals & alloys, their semi-finished products;1.4866960019986854e-07;0.0001361339691116;0.9807234028989184;290.54130889342383;0.017743638773800637;2020;SSP1-PkBudg500
2f630420c9f3bcd25d7b8b32bc2c8b42;market for chlorodifluoromethane;chlorodifluoromethane;kg;RoW;Chemical;Chemical products;2.169758156135725e-07;8.157994007247201e-05;3.449818034598325;16.58236358293666;0.01583253746747695;2020;SSP1-PkBudg500
346503ada1b3a9692c801742198d53a8;market for flux, for wave soldering;flux, for wave soldering;kg;GLO;Chemical;Chemical products;1.1770624027443804e-08;5.727172103914764e-06;0.5693977815174509;2.8618458197267493;0.030042092460331415;2020;SSP1-PkBudg500
6f9e8e79e0025011427a5d3b01e0c80a;market for krypton, gaseous;krypton, gaseous;kg;GLO;Chemical;Chemical products;5.453864115727133e-07;0.0002477052841381;4.908117518060336;67.19406094297071;0.05025783281783756;2020;SSP1-PkBudg500
606717c7e4c3ec112c0b03cbce1a5610;market for fibre, kenaf;fibre, kenaf;kg;GLO;AgriForeAnim;Agricultural & forestry products;3.652705815343144e-08;5.393650160539826e-06;0.0565392313704002;17.800648127689826;0.001346956447159075;2020;SSP1-PkBudg500
b9e23828f3d0c74c551c7edc66e71379;market for potato, organic;potato, organic;kg;GLO;AgriForeAnim;Agricultural & forestry products;6.4128383773686725e-09;8.643505665547582e-07;0.0222954946880477;0.6519861672776539;0.0006875521619025315;2020;SSP1-PkBudg500
cf81717206b5a737b7a8a0a93a1b87e8;market for sodium chloride, brine solution;sodium chloride, brine solution;kg;GLO;OreMinFuel;Ores, minerals & fuels;6.982331130766807e-10;4.842122252272468e-07;0.0072255456794605;0.4843615928808401;0.00016697418692449538;2020;SSP1-PkBudg500
2a50dedb7279fa6099f6e8db81749868;market for grass seed, Swiss integrated production, at farm;grass seed, Swiss integrated production, at farm;kg;GLO;AgriForeAnim;Agricultural & forestry products;5.5876065335769764e-08;4.266907043902996e-06;0.135462721920097;2.314139488953976;0.002651593115298453;2020;SSP1-PkBudg500
c27991023e8548170fcb6a28224e31a6;market for boric oxide;boric oxide;kg;GLO;Chemical;Chemical products;2.066292151466881e-08;1.2843556036394947e-05;0.3198611204952691;17.9593338039715;0.006783059439530999;2020;SSP1-PkBudg500
5994c6fa51edf6fb6bb405614dee10fa;market for paclobutrazol;paclobutrazol;kg;GLO;Chemical;Chemical products;7.21992321820694e-08;3.6676251111134666e-05;1.565933682609657;42.76016069608628;0.018091971323090438;2020;SSP1-PkBudg500
01b59183a0dadb469528a825385e8af7;market for uranium, enriched 3.8%, in fuel element for light water reactor;uranium, enriched 3.8%, in fuel element for light water reactor;kg;GLO;OreMinFuel;Ores, minerals & fuels;1.1249847246435683e-05;0.0187676703220389;229.4338369677908;4651.20956622474;69.63237049349415;2020;SSP1-PkBudg500
e4c1035464dcd484321273848ce82d54;market for fish block, hake;fish block, hake;kg;GLO;ProcBio;Food & beverages, animal feed;3.2459649810702915e-08;1.6638462506511004e-05;0.446678733174386;1.363814960398916;0.016440263380822863;2020;SSP1-PkBudg500
ce46010872bb7cb6e31db24f472013d9;market for high voltage system, for Li-ion battery;high voltage system, for Li-ion battery;kg;GLO;MachElecTrans;Metal/electronic equipments & parts;1.8648424664737533e-07;0.0001684847817584;1.6941714856186365;174.3913931193303;0.1237339656307969;2020;SSP1-PkBudg500
79e04f0f782eea0d15225b8a6887e916;market for resistor, surface-mounted;resistor, surface-mounted;kg;GLO;MachElecTrans;Metal/electronic equipments & parts;8.783287940141924e-07;0.0007520215848012;4.019660988311831;150.81219837502553;0.0613366024254278;2020;SSP1-PkBudg500
d7a8acdc5c412df402e285a5c1291080;market for dimethyl hexynediol;dimethyl hexynediol;kg;GLO;Chemical;Chemical products;1.1568265931341652e-08;5.520123519244076e-06;0.3326808634096086;2.056493422165473;0.004477912494503462;2020;SSP1-PkBudg500
22db46f6ba1211c058e4da0ac386d3e7;market for polyethylene, high density, granulate;polyethylene, high density, granulate;kg;GLO;PlastRub;Plastics & rubber products;9.039043594198046e-09;4.084597845204035e-06;0.6548290671663445;59.65503025435399;0.011699434022156346;2020;SSP1-PkBudg500
10d8d528d6867581136675438c21d124;market for urea formaldehyde resin;urea formaldehyde resin;kg;RoW;PlastRub;Plastics & rubber products;9.241521282844437e-09;4.872655329538477e-06;0.2704102607001015;2.540772574152899;0.002526023297960741;2020;SSP1-PkBudg500
f81bcc2aa5e8189a2159936982cc38b9;market for rice, non-basmati;rice, non-basmati;kg;GLO;AgriForeAnim;Agricultural & forestry products;1.7603343360626232e-08;4.752801730345117e-06;0.0342138549982578;0.6664336240148667;0.0012045010574387408;2020;SSP1-PkBudg500
817720c11340b346dc9574d7a87435fc;market for gravel, crushed;gravel, crushed;kg;RoW;OreMinFuel;Ores, minerals & fuels;8.717111307632159e-11;4.4309683481436215e-08;0.0016332601408881;0.06632142310593775;5.2358428925716724e-05;2020;SSP1-PkBudg500
0ec07589c535fa6a72e9ba6025345669;market for butane-1,4-diol;butane-1,4-diol;kg;GLO;Chemical;Chemical products;1.96421613802636e-08;9.579652471912383e-06;0.4816546465783687;3.7498848750678038;0.004143364012102843;2020;SSP1-PkBudg500
52c103094f78261cac6950c1be1b9c48;market for anhydrite rock;anhydrite rock;kg;RoW;OreMinFuel;Ores, minerals & fuels;3.767365154615222e-11;6.017114327556767e-08;0.0009475027453469;0.003415292216730291;1.5525742929627585e-05;2020;SSP1-PkBudg500
67d4895270858309aad2da86ddf21466;market for potassium carbonate;potassium carbonate;kg;GLO;Chemical;Chemical products;1.3554416737000933e-08;6.710264450925887e-06;0.2032249148317358;5.738190729482921;0.003884906333042963;2020;SSP1-PkBudg500
a23ff5a5512f239248b86d5706a7c4e4;market for latex;latex;kg;RoW;PlastRub;Plastics & rubber products;1.2106112563006971e-08;5.7433623558284015e-06;0.7583368041700741;0.4113963285490789;0.0002719283953348624;2020;SSP1-PkBudg500
c31a19ca95b1cad5376a5536bd9bfa9d;market for samarium-europium-gadolinium oxide;samarium-europium-gadolinium oxide;kg;GLO;Chemical;Chemical products;1.5851569594367884e-07;0.0001015366600303;4653.365345636548;1031.2627560972862;4.065374923264811;2020;SSP1-PkBudg500
a8665246e3e6ad85404b373759a824e9;market for ammonium paratungstate;ammonium paratungstate;kg;GLO;MetalAlloy;Basic metals & alloys, their semi-finished products;2.518488711265473e-07;0.000458277237036;3.741324759467096;314.0413384858997;2.8576710086669244;2020;SSP1-PkBudg500
