X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Total waste (kg/kg),Ecosystem damage (species-year/kg),1613,0.8335061049064765,0.0,0.6947324269163659,0.6429439421054123,-16.46377169037069,7.077417303984704e-08
Total waste (kg/kg),Human health damage (DALY/kg),1611,0.8835277684141332,0.0,0.7806213175588582,0.7688065317654293,-11.474481156329151,1.0391928526842633e-05
Total waste (kg/kg),Natural resource scarcity (USD2013/kg),1613,0.8384102655541519,0.0,0.7029317733865834,0.7486464094546084,-0.9294580186104522,0.39476760909912845
Hazardous waste (kg/kg),Ecosystem damage (species-year/kg),1613,0.8231190085379878,0.0,0.6775249022165597,0.6368011631731517,-11.996276115077482,6.167135347878382e-06
Hazardous waste (kg/kg),Human health damage (DALY/kg),1611,0.8721084709950634,0.0,0.760573185181347,0.7609704598572187,-6.131267818611992,0.0021738231994025783
Hazardous waste (kg/kg),Natural resource scarcity (USD2013/kg),1613,0.8856543942776851,0.0,0.784383706103373,0.7931609676127837,4.189941785029744,66.01894755747078
