name;reference product;database;unit;production amount;location;code;activity type;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market for pitch despergents, in paper production;pitch despergents, in paper production;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;aebc8c6782d3f8c3fc83d0a512ad38f0;market activity;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
market for melamine formaldehyde resin;melamine formaldehyde resin;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;782257959315342a908b684c06eb0850;market activity;20130;Manufacture of plastics and synthetic rubber in primary forms;34790;"Other plastics in primary forms; ion exchangers";PlastRub;Plastics & rubber products
market for silicon, single crystal, Czochralski process, photovoltaics;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;67ece99ef0c5d14c8608c570092a6ee5;market activity;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
market for naphthalene sulfonic acid;naphthalene sulfonic acid;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;299866bea48a7c1b38a7a24f23409efc;market activity;20290;Manufacture of other chemical products n.e.c.;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market for triethylene glycol;triethylene glycol;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;257250402e340a213b2785ad88262aaf;market activity;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for fava bean;fava bean;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;2fe8a059a9f3b3a2bd6e668957e9d0ca;market activity;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1243;Broad beans and horse beans, green;AgriForeAnim;Agricultural & forestry products
market for medium density fibreboard;medium density fibreboard;ecoinvent-3.9.1-cutoff;cubic meter;1.0;RoW;26a3382ee1fd43f4fe653e727b541f82;market activity;16210;Manufacture of veneer sheets and wood-based panels;31441;Medium density fibreboard (MDF);ProcBio;Wood, straw & cork
market for manganese dioxide;manganese dioxide;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;30a1dbfebc5d913e1af78c6a6a3055ce;market activity;20110;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
market for cork, raw;cork, raw;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;8f7d47730da3b998355ae79a82610c7b;market activity;2300;Gathering of non-wood forest products;3220;Natural cork, raw or simply prepared;AgriForeAnim;Agricultural & forestry products
market for aluminium, primary, cast alloy slab from continuous casting;aluminium, primary, cast alloy slab from continuous casting;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;d7a05628bc657cd1b3f78a57b3ca61c4;market activity;24200;Manufacture of basic precious and other non-ferrous metals;41431;Unwrought aluminium;MetalAlloy;Basic metals & alloys, their semi-finished products
market for aluminium removed by milling, average;aluminium removed by milling, average;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;784f73d972061c425989938ae16aaa52;market activity;25920;"Treatment and coating of metals; machining";39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural & forestry products
market for sodium tripolyphosphate;sodium tripolyphosphate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;7c2ab2b467c2f29009f89001cde359bd;market activity;20230;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35300;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
market for indolylbutyric acid;indolylbutyric acid;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;af3eb9c0084ad1a3c230675bdf7cc891;market activity;20110;Manufacture of basic chemicals;34160;"Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids an[…]";Chemical;Chemical products
market for acetoacetic acid;acetoacetic acid;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;062d76e5b7a02ea05d273e0f15a5949a;market activity;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market for benzal chloride;benzal chloride;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;2aa321ba0d6219761008b0722772a356;market activity;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for brass removed by drilling, computer numerical controlled;brass removed by drilling, computer numerical controlled;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;1b8c30dd8bf59a624068735a5dd6fcb8;market activity;25920;"Treatment and coating of metals; machining";39360;Waste and scrap of other metals;AgriForeAnim;Agricultural & forestry products
market for concrete block;concrete block;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;d5d9a37439be90404fe4edc571a7d9af;market activity;23950;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass & other non-metallic products
market for boric acid, anhydrous, powder;boric acid, anhydrous, powder;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;b5cd957c48b0459347485bb2961acd35;market activity;8910;Mining of chemical and fertilizer minerals;34000;Basic chemicals;Chemical;Chemical products
market for building, multi-storey;building, multi-storey;ecoinvent-3.9.1-cutoff;cubic meter;1.0;GLO;6c31cc8ee2de328bdad350223ea1778e;market activity;41000;Construction of buildings;53100;Buildings;Construction;Construction
market for barium sulfide;barium sulfide;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;2becdfda6ad89a83d56231acb50ff1e0;market activity;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for cauliflower;cauliflower;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;e18dd11508581be292c91e65ec64a81a;market activity;1130;Growing of vegetables and melons, roots and tubers;1213;Cauliflowers and broccoli;AgriForeAnim;Agricultural & forestry products
market for kerosene;kerosene;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;bc7f779d70f586e74ee4ab7ce9315c36;market activity;19200;Manufacture of refined petroleum products;33340;Kerosenes;OreMinFuel;Ores, minerals & fuels
market for bipyridylium-compound;bipyridylium-compound;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;c97f5eca2e11a0ac434d8d3d5fce732a;market activity;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for paper, melamine impregnated;paper, melamine impregnated;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;b8337295bf961d1c9857813ac3bd37fa;market activity;16210;Manufacture of veneer sheets and wood-based panels;32149;Other paper and paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, gummed or adh[…];ProcBio;Pulp & paper
market for n-olefins;n-olefins;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;04681bb9fe28b4408facb1d721820cd0;market activity;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for 2-methyl-1-butanol;2-methyl-1-butanol;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;39446307b96eab3be38171d3c6996d0c;market activity;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for potato seed, at farm;potato seed, at farm;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;11c00e1eb590d1f2420d36b8a601ccdc;market activity;1130;Growing of vegetables and melons, roots and tubers;1510;Potatoes;AgriForeAnim;Agricultural & forestry products
market for acetonitrile;acetonitrile;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;466dbc6904b2f80ba0fa5c5778b2bd0a;market activity;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market for sanitary ceramics;sanitary ceramics;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;5de4e6040341b76a45c93c671126ae7f;market activity;23920;Manufacture of clay building materials;37300;Refractory products and structural non-refractory clay products;GlasNonMetal;Glass & other non-metallic products
market for butyl acetate;butyl acetate;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;762ed190bfd9605e38cb6d8b9a84e2ef;market activity;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market for battery management system, for Li-ion battery;battery management system, for Li-ion battery;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;914da383ee37147592732e6bdaf6c1dc;market activity;27200;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
market for anode, silicon coated graphite, for Li-ion battery;anode, silicon coated graphite, for Li-ion battery;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;fb1f00e0217d22678f267c677bc98633;market activity;27200;Manufacture of batteries and accumulators;46950;Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];MachElecTrans;Metal/electronic equipments & parts
market for nickel-rich materials;nickel-rich materials;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;744cab769813439bc2207edee7cc3427;market activity;24200;Manufacture of basic precious and other non-ferrous metals;41412;"Unrefined copper; copper anodes for electrolytic refining";MetalAlloy;Basic metals & alloys, their semi-finished products
market for fodder beet, Swiss integrated production;fodder beet, Swiss integrated production;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;a1216e2aebabf2178d9e5b478c027d49;market activity;1190;Growing of other non-perennial crops;1919;Forage products, n.e.c.;AgriForeAnim;Agricultural & forestry products
market for dimethyl carbonate;dimethyl carbonate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;2c27b8f0ec0b09c9831ebe8d75501621;market activity;20110;Manufacture of basic chemicals;34180;Phosphoric esters and their salts or esters of other inorganic acids (excluding esters of hydrogen halides) an[…];Chemical;Chemical products
market for liquid packaging board;liquid packaging board;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;ca26b2e809ed0e943cbdc7f1b5c389b7;market activity;17020;Manufacture of corrugated paper and paperboard and of containers of paper a;32153;Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…];ProcBio;Pulp & paper
market for silica fume, densified;silica fume, densified;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;ac98f15f83707ab11e82b925b0d363d7;market activity;23940;Manufacture of cement, lime and plaster;37400;Plaster, lime and cement;GlasNonMetal;Glass & other non-metallic products
market for perlite;perlite;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;5a05da2a20b79671999076ea858d95a0;market activity;8100;Quarrying of stone, sand and clay;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market for lemon;lemon;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;32e6fd05c8b157b17ce0e2dbd39b818a;market activity;1230;Growing of citrus fruits;1322;Lemons and limes;AgriForeAnim;Agricultural & forestry products
market for trimesoyl chloride;trimesoyl chloride;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;be48ac439e1256e98c07f6c1c9ca7609;market activity;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market for coriander;coriander;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;087dfa6d07100c06dc1c645a8ac4f125;market activity;1190;Growing of other non-perennial crops;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;AgriForeAnim;Agricultural & forestry products
market for polystyrene foam slab for perimeter insulation;polystyrene foam slab for perimeter insulation;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;3ec552673809c6c0b2a0fb13aaa627a6;market activity;22200;Manufacture of plastics products;36300;Semi-manufactures of plastics;PlastRub;Plastics & rubber products
market for coconut oil, crude;coconut oil, crude;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;b3551cc5425c448550d943ccc0fc71a1;market activity;10400;Manufacture of vegetable and animal oils and fats;21661;Coconut oil, crude;ProcBio;Food & beverages, animal feed
market for cobalt acetate;cobalt acetate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;37ed4cf62879b492697eb9ed155b4552;market activity;7290;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market for salt;salt;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;9ba7c065eece194826270534aedf7bd5;market activity;8930;Extraction of salt;16200;"Salt and pure sodium chloride; sea water";OreMinFuel;Ores, minerals & fuels
market for dimethyl malonate;dimethyl malonate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;fa76f4da58fc1866ab2df987ba9df6df;market activity;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market for manure, solid, cattle;manure, solid, cattle;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;7477390721cc533fb0f17a732df8932f;market activity;1610;Support activities for crop production;34654;Excreta of animals useful for manure/fertilizer and fuel preparation;Chemical;Chemical products
market for sodium perchlorate;sodium perchlorate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;daf842dc2084cada055e644571589f5c;market activity;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for capacitor, tantalum-, for through-hole mounting;capacitor, tantalum-, for through-hole mounting;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;0a7a9c9f24165e3360770b1c14eeef7f;market activity;26100;Manufacture of electronic components and boards;47110;Electrical capacitors;MachElecTrans;Metal/electronic equipments & parts
market for laminated timber element, transversally prestressed, for outdoor use;laminated timber element, transversally prestressed, for outdoor use;ecoinvent-3.9.1-cutoff;cubic meter;1.0;RoW;3f22b4d39523e30f4712bba1e16f6f81;market activity;16210;Manufacture of veneer sheets and wood-based panels;31420;Other plywood, veneered panels and similar laminated wood, except of bamboo;ProcBio;Wood, straw & cork
market for dithiocarbamate-compound;dithiocarbamate-compound;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;c88ee5ab0a0de26046374b77d1b8e95d;market activity;20210;Manufacture of pesticides and other agrochemical products;34660;Insecticides, fungicides, herbicides and disinfectants;Chemical;Chemical products
market for ethoxylated alcohol (AE11);ethoxylated alcohol (AE11);ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;2771305be48bbf3bcbe8ca566c7ea069;market activity;20230;Manufacture of soap and detergents, cleaning and polishing preparations, pe;35300;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
market for bulk lead-zinc concentrate;bulk lead-zinc concentrate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;5a52a1c5d59aaeff01a5b3923eae40ad;market activity;7290;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
market for copper sulfate;copper sulfate;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;ba33d7ba71218e2d5a1a27a1b57e1dd9;market activity;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for polyaluminium chloride;polyaluminium chloride;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;11192763bb46848d8960aa1fba914d6b;market activity;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market for mischmetal;mischmetal;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;7d91dbf0dda07e9b84eb6564e2a3c35d;market activity;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market for urea formaldehyde foam, in situ foaming;urea formaldehyde foam, in situ foaming;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;a0cb3a29ef896dea169237cf275d6466;market activity;22200;Manufacture of plastics products;36300;Semi-manufactures of plastics;PlastRub;Plastics & rubber products
market for metamitron;metamitron;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;1372b74bf193f947f6ee656e846a575e;market activity;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for sawnwood, hardwood, dried (u=10%), planed;sawnwood, hardwood, dried (u=10%), planed;ecoinvent-3.9.1-cutoff;cubic meter;1.0;RoW;31b380ec9fa508058d4aa73cc52a156b;market activity;16100;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
market for maize seed, organic, at farm;maize seed, organic, at farm;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;a9dd82c1d7465d5e693438cb5f039887;market activity;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1121;Maize (corn), seed;AgriForeAnim;Agricultural & forestry products
market for concrete, 50MPa;concrete, 50MPa;ecoinvent-3.9.1-cutoff;cubic meter;1.0;RoW;28e171738d4c7eacdda08e946187f43d;market activity;23950;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass & other non-metallic products
market for cathode, LFP, for Li-ion battery;cathode, LFP, for Li-ion battery;ecoinvent-3.9.1-cutoff;kilogram;1.0;RoW;de9d213ce13f4f537837dea3b4f9faf7;market activity;20110;Manufacture of basic chemicals;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
market for phenyl acetic acid;phenyl acetic acid;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;5dc11bfa4bf1247f83847e5dae499c87;market activity;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market for phosphorus pentachloride;phosphorus pentachloride;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;36f82a3bf8b75b019a64306fc3d7781d;market activity;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for tebuconazole;tebuconazole;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;6fc3d11145cae7853c8512c340ae07c1;market activity;20110;Manufacture of basic chemicals;34662;Fungicides;Chemical;Chemical products
market for NOx retained, by selective catalytic reduction;NOx retained, by selective catalytic reduction;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;8d1f644cfb4f2d1e4d69030fe28803e8;market activity;35100;Electric power generation, transmission and distribution;35499;Other chemical products n.e.c.;Chemical;Chemical products
market for hay;hay;ecoinvent-3.9.1-cutoff;kilogram;1.0;GLO;d0599b36cb901382d8cea9968512739e;market activity;1190;Growing of other non-perennial crops;1919;Forage products, n.e.c.;AgriForeAnim;Agricultural & forestry products
