name;reference product;database;unit;production amount;location;code;activity type;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market for chlorine, gaseous;chlorine, gaseous;SSP5-PkBudg500-2030;kilogram;;RoW;303382ff3d00bfaecdd05f38bb67f3d3;;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for melamine formaldehyde resin;melamine formaldehyde resin;SSP5-PkBudg500-2030;kilogram;;RoW;782257959315342a908b684c06eb0850;;20130;Manufacture of plastics and synthetic rubber in primary forms;34790;"Other plastics in primary forms; ion exchangers";PlastRub;Plastics & rubber products
market for ethylene glycol dimethyl ether;ethylene glycol dimethyl ether;SSP5-PkBudg500-2030;kilogram;;GLO;cf0f60252ff224f502c4821637299d35;;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market for sulfuric acid;sulfuric acid;SSP5-PkBudg500-2030;kilogram;;RoW;bd7dddfe46e52010e6555a437bd04f4e;;20120;Manufacture of fertilizers and nitrogen compounds;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market for metamitron;metamitron;SSP5-PkBudg500-2030;kilogram;;GLO;1372b74bf193f947f6ee656e846a575e;;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for marine fish;marine fish;SSP5-PkBudg500-2030;kilogram;;GLO;886ae267a92f0d7d50575513fec540d6;;3110;Marine fishing;4211;Wild freshwater fish, live, fresh or chilled;AgriForeAnim;Live animal, fish & their products
market for methyl acetate;methyl acetate;SSP5-PkBudg500-2030;kilogram;;GLO;7cafb3d03c38787c577b8969a395d32f;;20110;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market for sodium ethyl xanthate;sodium ethyl xanthate;SSP5-PkBudg500-2030;kilogram;;GLO;b0175530e5a50fe6ccec08a4eea4cabf;;20110;Manufacture of basic chemicals;34160;"Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids and[…]";Chemical;Chemical products
market for polystyrene foam slab with graphite, 6% recycled;polystyrene foam slab with graphite, 6% recycled;SSP5-PkBudg500-2030;kilogram;;GLO;2b80d977852f934afb981733bf28cc6d;;22200;Manufacture of plastics products;36300;Semi-manufactures of plastics;PlastRub;Plastics & rubber products
market for diphenylether-compound;diphenylether-compound;SSP5-PkBudg500-2030;kilogram;;GLO;77318fef8020d835fd3052d242959c7d;;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market for lettuce;lettuce;SSP5-PkBudg500-2030;kilogram;;GLO;7aa2ccd470a6247189e567b66b199d6c;;1130;Growing of vegetables and melons, roots and tubers;1214;Lettuce and chicory;AgriForeAnim;Agricultural & forestry products
market for aluminium, wrought alloy;aluminium, wrought alloy;SSP5-PkBudg500-2030;kilogram;;GLO;d25c8e0755ee9899fb4e892990397a68;;24200;Manufacture of basic precious and other non-ferrous metals;41530;Semi-finished products of aluminium or aluminium alloys;MetalAlloy;Basic metals & alloys, their semi-finished products
market for aluminium removed by turning, average, computer numerical controlled;aluminium removed by turning, average, computer numerical controlled;SSP5-PkBudg500-2030;kilogram;;GLO;db4e48bc6cff689756194e97ab4c84bc;;25920;"Treatment and coating of metals; machining";39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural & forestry products
