('08/26/2025, 20:32:50', 'SSP1-PkBudg500-2020', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:05:50.797677')
('08/26/2025, 20:32:50', 'SSP1-PkBudg500-2020', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:05:50.841035')
('08/26/2025, 20:32:53', 'SSP1-PkBudg500-2020', 'MaterialFootprint_tin', 'additions', 127, 'duration:', '0:05:53.498916')
('08/26/2025, 20:33:02', 'SSP1-PkBudg500-2020', 'MaterialFootprint_titanium', 'additions', 458, 'duration:', '0:06:03.075302')
('08/26/2025, 20:33:03', 'SSP1-PkBudg500-2020', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:06:03.180417')
('08/26/2025, 20:33:05', 'SSP1-PkBudg500-2020', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:06:06.078652')
('08/26/2025, 20:33:05', 'SSP1-PkBudg500-2020', 'MaterialFootprint_vanadium', 'additions', 1, 'duration:', '0:06:06.101370')
('08/26/2025, 20:33:07', 'SSP1-PkBudg500-2020', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:06:07.301387')
('08/26/2025, 20:33:22', 'SSP1-PkBudg500-2020', 'MaterialFootprint_zinc', 'additions', 673, 'duration:', '0:06:22.808596')
('08/26/2025, 20:33:22', 'SSP1-PkBudg500-2020', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:06:22.949106')
('08/26/2025, 20:33:41', 'SSP1-PkBudg500-2020', 'WasteFootprint_carbondioxide-kilogram', 'additions', 907, 'duration:', '0:06:41.604525')
('08/26/2025, 20:33:41', 'SSP1-PkBudg500-2020', 'WasteFootprint_composting-kilogram', 'additions', 14, 'duration:', '0:06:41.909258')
('08/26/2025, 20:33:41', 'SSP1-PkBudg500-2020', 'WasteFootprint_digestion-cubicmeter', 'additions', 6, 'duration:', '0:06:42.048159')
('08/26/2025, 20:33:42', 'SSP1-PkBudg500-2020', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:06:42.142799')
