CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;reference product;unit
39367: Waste and scrap of tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium […];metals/extraction;2420:Manufacture of basic precious and other non-ferrous metals;fee3dbb3677ca6f7d54a606dfdf44263;SSP1-PkBudg500-2040;GLO;cadmium;market for cadmium sludge from zinc electrolysis stockpiling;cadmium sludge from zinc electrolysis stockpiling;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";chemicals/inorganics;1920:Manufacture of refined petroleum products;66814f5fb5f9c09b255b7dd66419e271;SSP1-PkBudg500-2040;RER;hydrogen;market for hydrogen, liquid;hydrogen, liquid;kilogram
"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";;2011:Manufacture of basic chemicals;5fd096dcbb65a89cf50578fddef0b39b;SSP1-PkBudg500-2040;GLO;lithium;market for lithium chloride;lithium chloride;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;066c9206607846089d499e53e4803432;SSP1-PkBudg500-2040;LAM;hydrogen;market for hydrogen, gaseous, 20-year period;hydrogen, gaseous;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";chemicals/inorganics;1920:Manufacture of refined petroleum products;957c7cd32850cbf34c485588bb417f6c;SSP1-PkBudg500-2040;RoW;hydrogen;market for hydrogen, liquid;hydrogen, liquid;kilogram
41320: Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form;metals/extraction;2420:Manufacture of basic precious and other non-ferrous metals;e06eed9912af66347d920075212adc8c;SSP1-PkBudg500-2040;GLO;gold;market for gold-silver, ingot;gold-silver, ingot;kilogram
"33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]";nuclear power/production;2011:Manufacture of basic chemicals;fe3eb2c1ad14f5832bd6ebd74b557433;SSP1-PkBudg500-2040;GLO;uranium;market for uranium, enriched 3.8%, per separative work unit;uranium, enriched 3.8%, per separative work unit;unit
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;3235e61eed8f4ba3a3c912af22f28170;SSP1-PkBudg500-2040;CAZ;cement;market for cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049;kilogram
14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);metals/extraction;0729:Mining of other non-ferrous metal ores;4bbab70f8c40533af6f5dc3018d8139f;SSP1-PkBudg500-2040;GLO;zinc;market for zinc concentrate;zinc concentrate;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";9e763090c5bd2d9dc4c8714f6135d0c2;SSP1-PkBudg500-2040;NG;natural gas;market for natural gas, high pressure;natural gas, high pressure;cubic meter
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";145ed53d65dc4dd38b4c266bc7effcf9;SSP1-PkBudg500-2040;CHA;natural gas;market for natural gas, high pressure, 40-year period;natural gas, high pressure;cubic meter
39363: Waste and scrap of aluminium;metals/chipping;"2592:Treatment and coating of metals; machining";f6a649b400b6c49bdf9e465997262e4e;SSP1-PkBudg500-2040;GLO;aluminium;market for aluminium removed by drilling, conventional;aluminium removed by drilling, conventional;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";bb015f294ff94af190790e0ba2c42fd5;SSP1-PkBudg500-2040;JPN;natural gas;market for natural gas, high pressure, 40-year period;natural gas, high pressure;cubic meter
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;66a0f3efa07e4110a86b5f36742ea441;SSP1-PkBudg500-2040;CAZ;cement;market for cement, CEM II/A;cement, CEM II/A;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;bc2f6379f7b24ce3bcffc2c743c4db23;SSP1-PkBudg500-2040;EUR;cement;market for cement, Portland;cement, Portland;kilogram
3429: Compounds of rare earth metals, of yttrium or of scandium;chemicals/inorganics;0729:Mining of other non-ferrous metal ores;61327023f95070243f6f2fc9d8f01a2b;SSP1-PkBudg500-2040;GLO;cerium;market for cerium oxide;cerium oxide;kilogram
39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;metals/chipping;"2592:Treatment and coating of metals; machining";fb9aeb60b6a64c9b3067a2682d7669da;SSP1-PkBudg500-2040;GLO;chromium;market for chromium steel removed by turning, primarily roughing, computer numerical controlled;chromium steel removed by turning, primarily roughing, computer numerical controlled;kilogram
;;;1c4f92a547d54ebb9da060174ee3a496;SSP1-PkBudg500-2040;GLO;vanadium;market for vanadium pentoxide;vanadium pentoxide;kilogram
