location;database;code;name;reference product;unit;Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;log parameters;emptied;activity type
GLO;SSP1-PkBudg500-2040;ac01f20865b343b1425a1ec8c5dba7f3;market for cadmium sludge from zinc electrolysis;cadmium sludge from zinc electrolysis;kilogram;0.0573081283558975;8.38378411298709e-08;1.2794632147235212e-08;2.731859468071165e-05;0.1282977284436633;;;;
GLO;SSP1-PkBudg500-2040;47cdfe57dee039faa69a9ae1a20ce71a;market for aluminium sulfate, without water, in 4.33% aluminium solution state;aluminium sulfate, without water, in 4.33% aluminium solution state;kilogram;0.0012069471077453;1.2598995111981952e-08;5.006874906664894e-09;5.559494008561263e-06;0.0416476480032053;;;;
GLO;SSP1-PkBudg500-2040;d7ba469b432cb3dae0286448f9499d62;market for backlight, for liquid crystal display;backlight, for liquid crystal display;kilogram;0.1158986250113564;1.1493576290830245e-07;5.4526222455674343e-08;3.10717339304343e-05;1.091069847470176;;;;
GLO;SSP1-PkBudg500-2040;357931d7166ed6247597aff9d82bbe13;market for plug, inlet and outlet, for network cable;plug, inlet and outlet, for network cable;unit;0.0003765832590559;1.4277265421125147e-09;5.964994382704938e-10;5.485571764636704e-07;0.0058966056263159;;;;
GLO;SSP1-PkBudg500-2040;df67b3d01b68766ae7d013488def9122;market for asbestos, crysotile type;asbestos, crysotile type;kilogram;0.0001937379915217;2.079934732733713e-09;3.3718037342543093e-10;1.6171615971396445e-07;0.0823267656864736;;;;
GLO;SSP1-PkBudg500-2040;652a734385505cb52ca9fa781e3de3ac;market for 1-methoxy-2-propanol;1-methoxy-2-propanol;kilogram;0.0074269777434529;1.127121108943285e-07;8.769363627635715e-09;4.748708014366478e-06;0.5088028118075986;;;;
RoW;SSP1-PkBudg500-2040;0982a449d98739d5d61cb7d81bf9cc36;market for wheat flour;wheat flour;kilogram;0.0014110265077848;7.924083015429787e-09;3.4000187107587184e-08;2.70198547790983e-06;0.0388377034086376;;;;
GLO;SSP1-PkBudg500-2040;becc0967ac6ad610b0cdefb9d8b4ae71;market for electronic component machinery, unspecified;electronic component machinery, unspecified;unit;277.4689985801538;0.0006840672068567;7.20701381351403e-05;0.1033456247331712;1051.527112410182;;;;
RoW;SSP1-PkBudg500-2040;8ff8021cced130c0e72b1b341b0b21b4;market for sodium silicate, spray powder, 80%;sodium silicate, spray powder, 80%;kilogram;0.0019166981501891;3.931119245178786e-08;4.743341723967628e-09;2.4887403352478057e-06;0.1142350925937635;;;;
GLO;SSP1-PkBudg500-2040;8e596b319aaf5c68cea00d74bd18d908;market for magnesium-alloy, AZ91;magnesium-alloy, AZ91;kilogram;0.0268814497016235;4.111655627859965e-07;7.775210347917048e-08;8.795204628319426e-05;0.8356213503362226;;;;
GLO;SSP1-PkBudg500-2040;14d101d34f42188d4b78945f55579c0f;market for uranium ore, as U;uranium ore, as U;kilogram;0.0514599000382815;1.1919035254380746e-07;2.353865041198332e-07;0.0001092940431701;8.350563289458611;;;;
GLO;SSP1-PkBudg500-2040;460f39c08e600e8d42f573617d07c573;market for magnesium chloride, from titanium sponge production;magnesium chloride, from titanium sponge production;kilogram;0.0;0.0;0.0;0.0;0.0;;;;
GLO;SSP1-PkBudg500-2040;938a376b236e5cda14feeecfe289a875;market for tube insulation, elastomere;tube insulation, elastomere;kilogram;0.0171152478163632;1.0982852928555743e-07;1.6181960131788562e-08;8.808725181175817e-06;0.7143279358414284;;;;
RoW;SSP1-PkBudg500-2040;3a114d3fde564aa2089d2fa72687b065;market for sawnwood, beam, softwood, raw, dried (u=10%);sawnwood, beam, softwood, raw, dried (u=10%);cubic meter;0.4670063765518989;2.496952211812272e-06;1.4659555804341026e-05;0.0003381839331386;5.108675252332883;;;;
GLO;SSP1-PkBudg500-2040;f7d5cd7e1f2dfe51cf6b50752f98ada2;market for aluminium removed by drilling, computer numerical controlled;aluminium removed by drilling, computer numerical controlled;kilogram;0.4506216344559559;2.8184052392445904e-07;2.986758608961377e-08;2.301542588503345e-05;0.3393160731843335;;;;
GLO;SSP1-PkBudg500-2040;cff38930bb53b5d58a2244f27ef7655f;market for ascorbic acid;ascorbic acid;kilogram;0.0040716494732448;9.530665669159532e-08;1.5448180854105432e-08;6.177426544611021e-06;0.179473625060453;;;;
RoW;SSP1-PkBudg500-2040;f090c0ac622e3fbbee68f5eb2b704d04;market for lean concrete;lean concrete;cubic meter;0.3812519868814364;2.59455183452844e-06;6.294724914865685e-07;0.0002684337196041;7.742144209973389;;;;
GLO;SSP1-PkBudg500-2040;2771305be48bbf3bcbe8ca566c7ea069;market for ethoxylated alcohol (AE11);ethoxylated alcohol (AE11);kilogram;0.0056752859120464;3.0567001972304655e-08;1.7362217804247533e-08;5.423421234753e-06;0.3599274096396682;;;;
GLO;SSP1-PkBudg500-2040;be739860c410cabd6de9cd6c11d65364;market for scrap lead acid battery;scrap lead acid battery;kilogram;0.0;0.0;0.0;0.0;0.0;;;;
GLO;SSP1-PkBudg500-2040;7902ddf31516846c0f5cf42030d8f244;market for receiver system, solar tower power plant, 20 MW;receiver system, solar tower power plant, 20 MW;unit;108016.49912102538;0.2127540917302225;0.0567242340590898;56.46042818892694;645162.7162996811;;;;
GLO;SSP1-PkBudg500-2040;a09e2b3f43dab96cacc1dd4bab15e737;market for fibre, polyester;fibre, polyester;kilogram;0.0506261043476875;9.061015056380877e-08;1.1664526498134074e-08;5.472639906610113e-06;0.5873320057061127;;;;
GLO;SSP1-PkBudg500-2040;3bb2539929f70cf3e9e6a3d134148cab;market for agricultural trailer;agricultural trailer;kilogram;0.0052406261628971;1.37020355017269e-07;1.565590874782801e-08;1.3307899154601076e-05;0.3385464815703051;;;;
GLO;SSP1-PkBudg500-2040;e549ade6161a973471d35ca89bbabd75;market for packaging film, low density polyethylene;packaging film, low density polyethylene;kilogram;0.0188468141013632;5.70546148858665e-08;9.189960913565432e-09;3.973986479134296e-06;0.6526126352107768;;;;
RoW;SSP1-PkBudg500-2040;430946426bae97a879911b51001ce6e3;market for adiponitrile;adiponitrile;kilogram;0.0142614747607893;2.4877650529248368e-08;1.4353478573355576e-08;6.346518452136295e-06;0.73649455471232;;;;
GLO;SSP1-PkBudg500-2040;6ca84afd2a960b89a878add572e23ed8;market for gadolinium oxide;gadolinium oxide;kilogram;6.317126035962652;0.0005428440649972;6.911001450867118e-07;0.0002833231925219;65.14626016528175;;;;
GLO;SSP1-PkBudg500-2040;74fe70d3c35f0929de787157aff7cc01;market for natural gas, liquefied;natural gas, liquefied;cubic meter;0.0026195859443734;1.3346976517051208e-09;2.5293161642644213e-09;1.1068315411485523e-06;0.357776909498436;;;;
RoW;SSP1-PkBudg500-2040;957c7cd32850cbf34c485588bb417f6c;market for hydrogen, liquid;hydrogen, liquid;kilogram;0.006461905003677;2.525049377224333e-08;6.672000542868193e-09;2.841407926516314e-06;0.6257468620517037;;;;
RoW;SSP1-PkBudg500-2040;ee5ef4d0712864b328e6fd186cca64fc;market for concrete, normal strength;concrete, normal strength;cubic meter;0.5818309585158765;3.685795501869677e-06;1.0031049789649243e-06;0.0004264521362932;12.52225882230512;;;;
GLO;SSP1-PkBudg500-2040;f3128ab8a7df03c2c38e306c2967cd92;market for aluminium alloy, AlMg3;aluminium alloy, AlMg3;kilogram;0.0152346983057527;1.872707939293842e-07;1.7360387737796093e-08;1.5552726274377454e-05;0.1890317336013765;;;;
GLO;SSP1-PkBudg500-2040;4b1191cf8e103d0da412d01a9e8bae3e;market for organo-mineral phosphorus fertiliser, as P2O5;organo-mineral phosphorus fertiliser, as P2O5;kilogram;0.0;0.0;0.0;0.0;0.0;;;;
RoW;SSP1-PkBudg500-2040;ea7a5ee2f9592688844b115ca75dc7a2;market for sawnwood, hardwood, dried (u=20%), planed;sawnwood, hardwood, dried (u=20%), planed;cubic meter;0.2856665606455461;2.133806022345341e-06;7.910153811927637e-06;0.0002547304800896;3.4473097615056387;;;;
GLO;SSP1-PkBudg500-2040;3c065fa16d429db168add7f85ea7ea91;market for stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;unit;3.0869173877561464;6.089750304648782e-05;1.0227823479051105e-05;0.0105464665489932;178.9046423908369;;;;
World;SSP1-PkBudg500-2040;2b41169c66e9495e9a2c2449e9ba8b98;market for hydrogen, gaseous;hydrogen, gaseous;kilogram;0.009774893864756;6.712945297990247e-07;5.9096259438190335e-08;9.159410544480598e-06;0.1142516753513951;;{'fossil CO2 per kg fuel': 0.0, 'non-fossil CO2 per kg fuel': 0.0, 'lower heating value': 119.99999999999994};;
GLO;SSP1-PkBudg500-2040;92845125973b2a0581cdc0d662c0d64f;market for chassis, internet access equipment;chassis, internet access equipment;kilogram;0.0246818359435198;1.1867923274585025e-07;4.2806514559202726e-08;4.935571909378965e-05;0.3375611645554652;;;;
GLO;SSP1-PkBudg500-2040;d5e7f4987456179e131351d981678ae4;market for heat and power co-generation unit, 1MW electrical, common components for heat+electricity;heat and power co-generation unit, 1MW electrical, common components for heat+electricity;unit;160.03340844908556;0.0038828825443922;0.000825371324419;0.6232000662208066;11165.39755886031;;;;
RoW;SSP1-PkBudg500-2040;c578b2b6b24a8fe94e2fabaae27942b9;market for triple superphosphate;triple superphosphate;kilogram;0.0016096496190362;1.4089928696695314e-08;7.222402844769741e-09;3.655811625758489e-06;0.0617726039244003;;;;
GLO;SSP1-PkBudg500-2040;63db705119c3aa9361831f6c724db371;market for fuel cell, solid oxide, with micro gas turbine, 180kW electrical, future;fuel cell, solid oxide, with micro gas turbine, 180kW electrical, future;unit;1509.5155036672954;0.0771051149064281;0.0005674751883633;0.6161278934552339;398108.67161925806;;;;
GLO;SSP1-PkBudg500-2040;270b3f266134eac413863b268fb64248;market for mini CHP plant, components for heat only;mini CHP plant, components for heat only;unit;8.732494520021692;0.000112550535437;2.585469088793344e-05;0.0221721431108007;475.32188421215903;;;;
GLO;SSP1-PkBudg500-2040;2a0b7305724cc6e99075800d89d643a5;market for tanker, for liquid goods other than petroleum and liquefied natural gas;tanker, for liquid goods other than petroleum and liquefied natural gas;unit;290710.0971125286;1.373915998392129;0.2316741520133773;374.29163506337;5939856.383157115;;;;
GLO;SSP1-PkBudg500-2040;2ec3ac2ed5757a1cd0fbca2b1ca856eb;market for inductor, low value multilayer chip;inductor, low value multilayer chip;kilogram;0.8791870790998622;1.5865231518467693e-06;5.71000834050992e-08;4.101456007721303e-05;0.9239628688718696;;;;
GLO;SSP1-PkBudg500-2040;4ef3396c8a1b189617f84c6a339dcbef;market for trichloroethylene;trichloroethylene;kilogram;0.0053214819721156;8.06826755489191e-08;1.2496539245743888e-08;4.976592907966773e-06;0.4858029282112154;;;;
GLO;SSP1-PkBudg500-2040;14e0227e764a4a098e5fd34525ccaf3f;market for hot water tank, 600l;hot water tank, 600l;unit;1.0199504338674474;1.576115121565486e-05;2.6063481531844275e-06;0.005505707938723;57.770770034456575;;;;
