CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;reference product;unit
13000: Uranium and thorium ores and concentrates;nuclear power/production;0721:Mining of uranium and thorium ores;14d101d34f42188d4b78945f55579c0f;SSP5-Base-2040;GLO;uranium;market for uranium ore, as U;uranium ore, as U;kilogram
"4160: Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]";metals/extraction;2420:Manufacture of basic precious and other non-ferrous metals;0edf3a3e46a7b5860372df55f7c99872;SSP5-Base-2040;GLO;palladium;market for palladium;palladium;kilogram
34290: Compounds of rare earth metals, of yttrium or of scandium;;0729:Mining of other non-ferrous metal ores;14c93a6106e639bb246c06f0a84e2dc7;SSP5-Base-2040;GLO;rare earth;market for rare earth oxide concentrate, 50% REO;rare earth oxide concentrate, 50% REO;kilogram
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;4d2bf4f46c0e42c98cd77f96c81d92f3;SSP5-Base-2040;CHA;cement;market for cement mortar;cement mortar;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;3202be64184a46b8b6177890a666d1fb;SSP5-Base-2040;REF;cement;market for cement, CP III;cement, CP III;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;e2f38edbd92b47838ebe7d6747f9cf97;SSP5-Base-2040;SSA;cement;market for cement, CP III;cement, CP III;kilogram
53269: Other constructions for manufacturing;lignite/production;4290:Construction of other civil engineering projects;0557a7d27edb93078a6241b43847cc85;SSP5-Base-2040;GLO;coal(brown);market for lignite dust factory;lignite dust factory;unit
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;10684a247c7843efa36d7fd56dc2b2d1;SSP5-Base-2040;SSA;cement;market for cement mortar;cement mortar;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";5e123b8945e84cccb8a1d0466970cf3f;SSP5-Base-2040;NEU;natural gas;market for natural gas, high pressure, 20-year period;natural gas, high pressure;cubic meter
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;d0db6dde11f015e6ef67fa0bd6394adc;SSP5-Base-2040;US;cement;market for cement, type IS;cement, type IS;kilogram
34629: Other phosphatic fertilizers, n.e.c.;;0891:Mining of chemical and fertilizer minerals;bd271148459d2f12de53c6f9a5fddba1;SSP5-Base-2040;RER;phosphate rock;market for phosphate rock, beneficiated;phosphate rock, beneficiated;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;511797a9d586924cc3edd8be873f05df;SSP5-Base-2040;ZA;cement;market for cement, CEM II/A-V;cement, CEM II/A-V;kilogram
53269: Other constructions for manufacturing;construction materials/others;4290:Construction of other civil engineering projects;d2017d8e2c4f81d4ec8e630b836c5b5a;SSP5-Base-2040;GLO;cement;market for cement factory;cement factory;unit
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;162c7784cc2f464b86ae3277b6e6b08b;SSP5-Base-2040;USA;cement;market for cement mortar;cement mortar;kilogram
342: Basic inorganic chemicals n.e.c.;;2011:Manufacture of basic chemicals;94a5c543e7175166ce36e3daefea8e72;SSP5-Base-2040;GLO;lithium;market for lithium sulfate;lithium sulfate;kilogram
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;0b12afb8c12b4e31be6d9bd5453e2231;SSP5-Base-2040;EUR;cement;market for cement mortar;cement mortar;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;9cecc152d4bc47dc928d0b5db4ddc3d1;SSP5-Base-2040;USA;cement;market for cement, CP III;cement, CP III;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;3eca85ab277c4e62088f3b25d881c6a2;SSP5-Base-2040;CH;cement;market for cement, Portland;cement, Portland;kilogram
13000: Uranium and thorium ores and concentrates;nuclear power/production;0721:Mining of uranium and thorium ores;a845aee228e8267b9b7b6c6fdcd9d13a;SSP5-Base-2040;GLO;uranium;market for uranium, in yellowcake;uranium, in yellowcake;kilogram
