activity type;code;name;database;reference product;unit;location;production amount;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;fdabbf27abc2d302066ebce8affec56a;market for air compressor, screw-type compressor, 300kW;SSP1-PkBudg500-2040;air compressor, screw-type compressor, 300kW;unit;GLO;;28130;Manufacture of other pumps, compressors, taps and valves;43230;"Air or vacuum pumps; air or other gas compressors";MachElecTrans;Metal/electronic equipments & parts
;2b4fb423557ff1bf236754634d4c7b73;market for cucumber;SSP1-PkBudg500-2040;cucumber;kilogram;GLO;;1130;Growing of vegetables and melons, roots and tubers;1232;Cucumbers and gherkins;AgriForeAnim;Agricultural & forestry products
;5d803d215dc22df2449eb16876ed5484;market for 2,5-dimethylhexane-2,5-dihydroperoxide;SSP1-PkBudg500-2040;2,5-dimethylhexane-2,5-dihydroperoxide;kilogram;GLO;;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;22db46f6ba1211c058e4da0ac386d3e7;market for polyethylene, high density, granulate;SSP1-PkBudg500-2040;polyethylene, high density, granulate;kilogram;GLO;;20130;Manufacture of plastics and synthetic rubber in primary forms;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
;996d953c73437245026e2b8b04b09a9b;market for printed wiring board, mounted mainboard, desktop computer, Pb containing;SSP1-PkBudg500-2040;printed wiring board, mounted mainboard, desktop computer, Pb containing;kilogram;GLO;;26100;Manufacture of electronic components and boards;47160;Electronic integrated circuits;MachElecTrans;Metal/electronic equipments & parts
;ff0b4d256f672f9de782b34a8467e5de;market for furnace, wood chips, with silo, 1000kW;SSP1-PkBudg500-2040;furnace, wood chips, with silo, 1000kW;unit;GLO;;28150;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments & parts
;99facf178739e8ef54f60a392318a754;market for scrap preparation facility;SSP1-PkBudg500-2040;scrap preparation facility;unit;GLO;;42900;Construction of other civil engineering projects;53290;Other civil engineering works;Construction;Construction
;146f3dac85b63444bf2c37c4d2f26f11;market for plug, inlet and outlet, for printer cable;SSP1-PkBudg500-2040;plug, inlet and outlet, for printer cable;unit;GLO;;26100;Manufacture of electronic components and boards;47100;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments & parts
;5ca488fc30c7462d9afe91fd2a17fae8;market for diesel, low-sulfur, 60-year period;SSP1-PkBudg500-2040;diesel, low-sulfur;kilogram;World;;19200;Manufacture of refined petroleum products;33360;Gas oil;OreMinFuel;Ores, minerals & fuels
;8935626f595b071e997e105b20cc88ea;market for inductor, miniature radio frequency chip;SSP1-PkBudg500-2040;inductor, miniature radio frequency chip;kilogram;GLO;;26100;Manufacture of electronic components and boards;47100;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments & parts
;7c69d8d16174f2f1090de6862b1564f8;market for ethylene;SSP1-PkBudg500-2040;ethylene;kilogram;RoW;;19200;Manufacture of refined petroleum products;33421;Ethylene, propylene, butylene, butadiene;OreMinFuel;Ores, minerals & fuels
;50b890a3ec0ccd9c8e49308afa18bdfe;market for ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts;SSP1-PkBudg500-2040;ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts;unit;GLO;;43220;Plumbing, heat and air-conditioning installation;44815;Fans and ventilating or recycling hoods of the domestic type;MachElecTrans;Metal/electronic equipments & parts
;dd91084138e270cdb3c7fa5c470cddf5;market for polyester resin, unsaturated;SSP1-PkBudg500-2040;polyester resin, unsaturated;kilogram;RoW;;20130;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
;5f62d9e0dd4e7ba569f608d32e97fdc6;market for wheat grain;SSP1-PkBudg500-2040;wheat grain;kilogram;RoW;;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1112;Wheat, other;AgriForeAnim;Agricultural & forestry products
;4537fa8ee7e18b21c571c30954ef90c2;market for potassium permanganate;SSP1-PkBudg500-2040;potassium permanganate;kilogram;GLO;;20110;Manufacture of basic chemicals;34250;"Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]";Chemical;Chemical products
;283a2ea82c95f298fdd79f029c043bd4;market for anthranilic acid;SSP1-PkBudg500-2040;anthranilic acid;kilogram;GLO;;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
;6cc7639016af711f8ff6673637f63b0b;market for maneb;SSP1-PkBudg500-2040;maneb;kilogram;GLO;;20110;Manufacture of basic chemicals;34662;Fungicides;Chemical;Chemical products
;7a7e6ec36d032079d87dcc4d711c4db5;market for ventilation control and wiring, central unit;SSP1-PkBudg500-2040;ventilation control and wiring, central unit;unit;GLO;;26510;Manufacture of measuring, testing, navigating and control equipment;44831;Parts of the following appliances: electromechanical domestic appliances, shavers and hairclippers, with self-[…];MachElecTrans;Metal/electronic equipments & parts
;598e39ea25e27da17a40d5574eb156b2;market for inverter, 2.5kW;SSP1-PkBudg500-2040;inverter, 2.5kW;unit;GLO;;27900;Manufacture of other electrical equipment;47170;Parts for the goods of classes 4711, 4712 and 4714 to 4716;MachElecTrans;Metal/electronic equipments & parts
;5237d7457f053de443e9eeb238345177;market for horn meal;SSP1-PkBudg500-2040;horn meal;kilogram;GLO;;10100;Processing and preserving of meat;39110;Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory);AgriForeAnim;Agricultural & forestry products
;073b1893284a2490fd548b8b14178a26;market for methyl ethyl ketone;SSP1-PkBudg500-2040;methyl ethyl ketone;kilogram;RoW;;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
;db9d0c8b8bb31aa0853b494faba96505;market for compressed air energy storage plant, 200 MW electrical;SSP1-PkBudg500-2040;compressed air energy storage plant, 200 MW electrical;unit;GLO;;42200;Construction of utility projects;53262;Power plants;Construction;Construction
;a9b8787ddd5404b6abd259278c6d0c0d;market for three and five layered board;SSP1-PkBudg500-2040;three and five layered board;cubic meter;RoW;;16210;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
;28005687919d1644a4c871d7f78fc595;market for sawnwood, beam, softwood, dried (u=10%), planed;SSP1-PkBudg500-2040;sawnwood, beam, softwood, dried (u=10%), planed;cubic meter;RoW;;16100;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;ba33d7ba71218e2d5a1a27a1b57e1dd9;market for copper sulfate;SSP1-PkBudg500-2040;copper sulfate;kilogram;GLO;;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
