activity type;database;name;production amount;code;unit;reference product;location;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for cottonseed meal;;0d80fd67a66aae662253a6c856bd0ebd;kilogram;cottonseed meal;GLO;10400;Manufacture of vegetable and animal oils and fats;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for organic nitrogen fertiliser, as N;;278aafa8fd440353a29eb9702955ba3e;kilogram;organic nitrogen fertiliser, as N;GLO;1610;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for zirconium oxide;;5298254fa3c87afd6b7e4e8dd48f1635;kilogram;zirconium oxide;GLO;20110;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for weaving, synthetic fibre;;843565d2350c227b49c8a60ff4677524;kilogram;weaving, synthetic fibre;GLO;13120;Weaving of textiles;38450;"Fishing rods and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy ""birds"" […]";ProcBio;Textile
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for cathode, LiMn2O4, for Li-ion battery;;9ca027839259f93d0fb65bb454778c70;kilogram;cathode, LiMn2O4, for Li-ion battery;GLO;27200;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for rape seed, Swiss integrated production;;306d3a32de8dfdb0f04cfba8c2b17ae3;kilogram;rape seed, Swiss integrated production;GLO;1110;Growing of cereals (except rice), leguminous crops and oil seeds;1443;Rape or colza seed;AgriForeAnim;Agricultural & forestry products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for lightweight concrete block, pumice;;3c0b67841df7eeb08912c4c8173ce9c2;kilogram;lightweight concrete block, pumice;RoW;23990;Manufacture of other non-metallic mineral products n.e.c.;37900;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass & other non-metallic products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for printed wiring board, through-hole mounted, unspecified, Pb containing;;ee96cdd1441e4db29b371c9c23b5445d;kilogram;printed wiring board, through-hole mounted, unspecified, Pb containing;GLO;26100;Manufacture of electronic components and boards;47130;Printed circuits;MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for erbium oxide;;7aa2f5fc523e4a810d206a2ffa6f7fe4;kilogram;erbium oxide;GLO;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for chlorosulfonic acid;;60fcde0a572fbe1adb52ae447cf3a388;kilogram;chlorosulfonic acid;RoW;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for benzyl chloride;;e1d5aec1ddcd2f1e672fd45d47870cf3;kilogram;benzyl chloride;RoW;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for ammonium paratungstate;;a8665246e3e6ad85404b373759a824e9;kilogram;ammonium paratungstate;GLO;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for shale brick;;bc973795e320b3f63d1387067919c8de;kilogram;shale brick;GLO;23920;Manufacture of clay building materials;37300;Refractory products and structural non-refractory clay products;GlasNonMetal;Glass & other non-metallic products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for DTPA, diethylenetriaminepentaacetic acid;;6119acbadeae6871b07052f5677aa77a;kilogram;DTPA, diethylenetriaminepentaacetic acid;RoW;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for europium oxide;;54d28d7cfde49e7718bdf0bb474b78c1;kilogram;europium oxide;GLO;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for electric motor, vehicle;;c27641648029d80a71c39e81f15ff491;kilogram;electric motor, vehicle;GLO;27100;Manufacture of electric motors, generators, transformers and electricity di;46100;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for sodium persulfate;;8431a1b046d7fbb9e477334b512f76ee;kilogram;sodium persulfate;GLO;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry;;4320d957a5e248bfffcf8bc3769dccc5;kilogram;solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry;GLO;20290;Manufacture of other chemical products n.e.c.;42950;Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or core[…];ProcBio;Food & beverages, animal feed
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for glycine;;80df4aab8700fec40c78907945902c0b;kilogram;glycine;GLO;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for vinyl chloride;;2ad0af3de61844881db69c9fa5e9ad8b;kilogram;vinyl chloride;RoW;20130;Manufacture of plastics and synthetic rubber in primary forms;34730;Polymers of vinyl chloride or other halogenated olefins, in primary forms;PlastRub;Plastics & rubber products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for iron sulfate;;14925d340289f8d9800e4c0c91119632;kilogram;iron sulfate;RoW;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for zinc monosulfate;;e2642bb27042fa5282ef4bac6351c359;kilogram;zinc monosulfate;RoW;20110;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for electrode, positive, LaNi5;;59c075078e5b21408a28e92c20a98365;kilogram;electrode, positive, LaNi5;GLO;27200;Manufacture of batteries and accumulators;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments & parts
;ei_cutoff_3.9_remind_SSP1-PkBudg500_2050 2025-09-04;market for polybutadiene;;3140e472a4887af4e75655b2a212fa5b;kilogram;polybutadiene;GLO;20130;Manufacture of plastics and synthetic rubber in primary forms;34700;Plastics in primary forms;PlastRub;Plastics & rubber products
